well,form,sample,core,orient,depth,log depth,tvdss,rho_g,fluid,mud,description,,por_1000,ka_1000,kb_1000,por_3000,ka_3000,kb_3000,por_4500,ka_4500,kb_4500,uni_NOB,iso_NOB,por_1000,por_3000,por_4500,,slope,intercept,por_insitu,porden,,air slope,ka_insitu,brine slope,kb_insitu,,shaly?
Freeman-1,702,11,1,,8111.05,8106.55,8026.90,2.65,oil,wbm,"sst,lt gry/brn,vf - f gr,wl srt,mica,pr cmt.",,33.1,8160,3678,31.8,7200,2705,30.8,6640,2069,2066,1281,33.1,31.8,30.8,,0.590909,12.89,769.98,34.18,,-0.4800,8025,-0.4865,3541,,
Freeman-1,702,12,1,,8112.30,8107.80,8027.90,2.66,oil,wbm,"sst,brn,f gr,wl srt,mica,pr cmt.",,34.0,5070,1175,32.4,4020,920,30.0,3090,750,2067,1282,34.0,32.4,30.0,,0.727273,9.13,941.38,32.84,,-0.5250,4922,-0.1275,1139,,
Freeman-1,702,13,1,,8113.30,8108.80,8028.90,2.64,oil,wbm,"sst,lt gry,f gr,wl srt,mica,pr cmt.",,35.4,5740,1590,34.0,4570,1220,32.6,3180,980,2068,1282,35.4,34.0,32.6,,0.636364,13.64,829.75,29.23,,-0.5850,5575,-0.1850,1538,,
Freeman-1,702,14,1,,8115.90,8111.40,8031.40,2.64,oil,wbm,"sst,brn,vf-f gr,wl srt,mica,pr cmt.",,36.4,6580,2651,34.0,3850,2005,32.0,2790,1719,2071,1284,36.4,34.0,32.0,,1.090909,-0.91,1399.84,32.78,,-1.3650,6192,-0.3230,2559,,
Freeman-1,702,15,1,,8116.85,8112.35,8032.40,2.64,oil,wbm,"sst,brn,vf-f gr,wl srt,mica,pr cmt.",,35.6,5440,1192,34.2,3890,800,31.1,2910,603,2072,1285,35.6,34.2,31.1,,0.636364,13.84,831.33,36.62,,-0.7750,5219,-0.1960,1136,,
Freeman-1,702,16,1,,8118.20,8113.70,8033.90,2.65,oil,wbm,"sst,brn,vf-f gr,wl srt,mica,pr cmt.",,35.1,6970,3427,33.2,4850,2393,32.4,3560,1583,2073,1286,35.1,33.2,32.4,,0.863636,5.56,1115.83,35.22,,-1.0600,6667,-0.5170,3279,,
Freeman-1,702,17,1,,8119.00,8114.50,8034.90,2.65,oil,wbm,"sst,brn,vf-f gr,wl srt,mica,pr cmt.",,34.3,9200,4548,31.7,7100,3046,30.6,5590,1782,2074,1286,34.3,31.7,30.6,,1.181818,-6.12,1513.92,34.93,,-1.0500,8900,-0.7510,4333,,
Freeman-1,702,18,1,,8120.00,8115.50,8035.90,2.64,oil,wbm,"sst,brn,vf-f gr,wl srt,mica,pr cmt.",,35.2,6570,1854,34.2,5080,1301,31.3,2930,837,2075,1287,35.2,34.2,31.3,,0.454545,19.65,604.57,36.80,,-0.7450,6356,-0.2765,1775,,
Freeman-1,702,19,1,,8121.30,8116.80,8036.90,2.64,oil,wbm,"sst,brn,vf-f gr,wl srt,mica,pr cmt.",,35.4,5800,1644,33.6,4120,1119,30.9,3130,960,2076,1287,35.4,33.6,30.9,,0.818182,7.42,1060.77,38.25,,-0.8400,5559,-0.2625,1569,,
Freeman-1,702,20,1,,8122.00,8117.50,8037.90,2.65,oil,wbm,"sst,brn,vf-f gr,wl srt,mica,pr cmt.",,34.4,5740,1610,33.1,4230,1200,31.0,3060,880,2077,1288,34.4,33.1,31.0,,0.590909,14.19,775.31,36.04,,-0.7550,5523,-0.2050,1551,,
Freeman-1,702,21,1,,8122.85,8118.35,8038.40,2.64,oil,wbm,"sst,brn,vf-f gr,wl srt,mica,pr cmt.",,34.0,5640,1806,32.7,4120,1420,30.7,3230,1010,2078,1288,34.0,32.7,30.7,,0.590909,13.79,775.09,35.34,,-0.7600,5421,-0.1930,1750,,
Freeman-1,702,22,1,,8125.50,8121.00,8041.39,2.64,oil,wbm,"sst,brn,vf-f gr,wl srt,mica,pr cmt.",,33.9,5700,2256,31.5,3730,1665,30.2,2770,1366,2081,1290,33.9,31.5,30.2,,1.090909,-3.41,1404.10,36.21,,-0.9850,5414,-0.2955,2170,,
Freeman-1,702,23,1,,8128.40,8123.90,8043.89,2.65,oil,wbm,"sst,brn,vf-f gr,wl srt,mica,pr cmt.",,33.4,3910,1060,32.3,3010,860,30.7,2310,750,2083,1292,33.4,32.3,30.7,,0.500000,16.30,662.18,35.81,,-0.4500,3779,-0.1000,1031,,
Freeman-1,702,24,1,,8129.50,8125.00,8045.39,2.66,oil,wbm,"sst,brn,vf-f gr,wl srt,mica,pr cmt.",,33.6,4360,1471,32.5,3360,1200,30.6,2690,951,2085,1293,33.6,32.5,30.6,,0.500000,16.50,662.85,35.75,,-0.5000,4214,-0.1355,1431,,
