well,form,sample,core,orient,depth,log depth,tvdss,rho_g,fluid,mud,description,,por_1000,ka_1000,kb_1000,por_3000,ka_3000,kb_3000,por_4500,ka_4500,kb_4500,uni_NOB,iso_NOB,por_1000,por_3000,por_4500,,slope,intercept,por_insitu,porden,,air slope,ka_insitu,brine slope,kb_insitu,,shaly?
Freeman-1,702,1,1,,8100.15,8095.65,8015.90,2.64,oil,wbm,"sst,brn,vf-f gr,v lse,wl srt,mica,pr cmt.",,33.8,4590,1166,32.0,3280,852,30.6,2560,586,2055,1274,33.8,32.0,30.6,,0.818182,5.82,1048.52,27.42,,-0.6550,4410,-0.1570,1123,,
Freeman-1,702,2,1,,8101.00,8096.50,8016.90,2.64,oil,wbm,"sst,brn,vf-f gr,v lse,wl srt,mica,pr cmt.",,34.6,4900,2360,32.8,3690,1820,30.7,2920,1250,2056,1275,34.6,32.8,30.7,,0.818182,6.62,1049.82,29.58,,-0.6050,4734,-0.2700,2286,,
Freeman-1,702,3,1,,8102.00,8097.50,8017.90,2.64,oil,wbm,"sst,brn,vf-f gr,v lse,wl srt,mica,pr cmt.",,34.2,7460,3185,32.0,5250,2083,30.5,4670,1859,2057,1276,34.2,32.0,30.5,,1.000000,0.00,1275.65,33.59,,-1.1050,7155,-0.5510,3033,,
Freeman-1,702,4,1,,8103.60,8099.10,8019.40,2.65,oil,wbm,"sst,brn,vf-f gr,v lse,wl srt,mica,pr cmt.",,34.3,5990,1930,33.1,4250,1460,31.6,2480,1005,2059,1277,34.3,33.1,31.6,,0.545455,15.65,711.96,35.69,,-0.8700,5749,-0.2350,1865,,
Freeman-1,702,5,1,,8104.90,8100.40,8020.40,2.64,oil,wbm,"sst,brn,vf-f gr,v lse,wl srt,mica,pr cmt.",,34.3,6340,2529,31.8,4590,1659,30.5,3360,1094,2060,1277,34.3,31.8,30.5,,1.136364,-4.56,1446.80,34.47,,-0.8750,6097,-0.4350,2408,,
Freeman-1,702,6,1,,8106.20,8101.70,8021.90,2.64,oil,wbm,"sst,brn,vf-f gr,v lse,wl srt,mica,pr cmt.",,34.4,4620,1872,32.7,3470,1248,30.6,2730,963,2061,1278,34.4,32.7,30.6,,0.772727,7.97,995.62,31.85,,-0.5750,4460,-0.3120,1785,,
Freeman-1,702,7,1,,8106.95,8102.45,8022.40,2.65,oil,wbm,"sst,lt gry/brn,vf - f gr,wl srt,mica,pr cmt.",,34.3,5520,2891,32.5,4160,2230,30.2,3220,1654,2062,1278,34.3,32.5,30.2,,0.818182,6.32,1052.31,32.43,,-0.6800,5331,-0.3305,2799,,
Freeman-1,702,8,1,,8107.95,8103.45,8023.40,2.64,oil,wbm,"sst,lt gry/lt brn,vf - f gr,wl srt,mica,pr cmt.",,33.5,7690,1970,32.0,5620,1547,31.2,4320,1204,2063,1279,33.5,32.0,31.2,,0.681818,10.18,882.27,34.18,,-1.0350,7401,-0.2115,1911,,
Freeman-1,702,9,1,,8109.55,8105.05,8025.40,2.64,oil,wbm,"sst,lt brn,f gr,wl srt,mica,pr cmt.",,33.0,5920,1250,31.1,4760,960,29.0,3000,860,2065,1280,33.0,31.1,29.0,,0.863636,3.46,1109.18,32.31,,-0.5800,5757,-0.1450,1209,,
Freeman-1,702,10,1,,8110.30,8105.80,8025.90,2.65,oil,wbm,"sst,lt brn,f - m gr,wl srt,mica,pr cmt.",,34.3,5460,1879,32.0,4560,1600,29.9,2540,1021,2065,1281,34.3,32.0,29.9,,1.045455,-1.45,1337.36,32.72,,-0.4500,5334,-0.1395,1840,,
