DEPT,DEN,DT,GR,NEUT,RES_DEP,Facies,velocity
10906.5,2.4499,103.2031,127.3184,0.4169,1.4179,shale,9689.631416110562
10907.0,2.448,103.278,128.167,0.4341,1.4158,shale,9682.60423323457
10907.5,2.4408,103.1641,130.6091,0.3958,1.3689,shale,9693.294469684706
10908.0,2.435,102.8581,129.2843,0.4028,1.4426,shale,9722.131752385083
10908.5,2.4351,103.2161,128.1653,0.4065,1.4973,shale,9688.411013398103
10909.0,2.4389,103.4928,125.3897,0.4078,1.4049,shale,9662.507923256497
10909.5,2.4376,103.8216,129.5534,0.4125,1.3636,shale,9631.90704053877
10910.0,2.4347,104.3815,123.2389,0.4013,1.3385,shale,9580.24170949833
10910.5,2.4355,104.6582,121.6763,0.4283,1.3265,shale,9554.913040736417
10911.0,2.4372,104.1113,130.0948,0.404,1.3218,shale,9605.105305572019
10911.5,2.4348,104.0788,131.8576,0.4159,1.3364,shale,9608.104628416162
10912.0,2.4306,104.1113,133.5013,0.3975,1.3561,shale,9605.105305572019
10912.5,2.4293,104.183,119.1451,0.4071,1.3664,shale,9598.4949559909
10913.0,2.4301,103.8249,117.7656,0.3916,1.3763,shale,9631.600897279939
10913.5,2.4283,104.1178,111.6346,0.4006,1.3927,shale,9604.505665697892
10914.0,2.4273,104.4141,117.0063,0.3983,1.396,shale,9577.250582057404
10914.5,2.4292,104.4271,125.1199,0.4153,1.342,shale,9576.058322025605
10915.0,2.4305,104.9837,134.5014,0.4175,1.2642,shale,9525.288211408057
10915.5,2.4311,104.8991,133.2202,0.4213,1.2523,shale,9532.970254272916
10916.0,2.4314,104.5052,127.8152,0.4144,1.2775,shale,9568.901834549859
10916.5,2.4337,104.6842,124.1221,0.3934,1.2936,shale,9552.539924840616
10917.0,2.4391,104.2155,124.0499,0.4125,1.2756,shale,9595.5016288364
10917.5,2.4443,103.9974,123.4664,0.4079,1.2961,shale,9615.625006009766
10918.0,2.445,103.9518,121.7035,0.4035,1.3292,shale,9619.843042640916
10918.5,2.4404,104.1374,124.3487,0.3866,1.3385,shale,9602.697974022782
10919.0,2.4334,104.3262,122.8981,0.4063,1.3509,shale,9585.319890880719
10919.5,2.4311,104.6224,124.8514,0.4274,1.3336,shale,9558.182568933613
10920.0,2.4309,104.873,124.6253,0.4277,1.3045,shale,9535.342747895073
