,WellID,Well,Run,AHDepth,TVDSS,Pressure,fluid
0,6,Freeman-4ST1,3,8216.09,8131.883,3909.63,g
1,6,Freeman-4ST1,2,8222.04,8137.881,3907.43,g
2,6,Freeman-4ST1,3,8222.07,8137.881,3910.89,g
3,6,Freeman-4ST1,6,8340.02,8255.826,4205.31,o
4,6,Freeman-4ST1,3,8344.05,8259.823,4205.4,o
5,6,Freeman-4ST1,3,8350.06,8265.819,4207.83,o
6,6,Freeman-4ST1,7,8364.01,8279.809,4214.08,o
7,6,Freeman-4ST1,3,8367.03,8282.806,4213.09,o
8,6,Freeman-4ST1,6,8367.04,8282.806,4214.59,o
9,6,Freeman-4ST1,7,8367.06,8282.806,4216.9,o
10,6,Freeman-4ST1,3,8373.07,8288.802,4215.56,o
11,6,Freeman-4ST1,6,8394.02,8309.783,4222.99,o
12,6,Freeman-4ST1,2,8423.98,8339.255,4228.74,o
13,6,Freeman-4ST1,6,8475.1,8390.694,4252.46,o / w
14,6,Freeman-4ST1,2,8478.08,8393.69,4252.07,o / w
15,6,Freeman-4ST1,2,8494.06,8409.668,4258.79,o / w
16,6,Freeman-4ST1,6,8495.08,8410.667,4261.12,o / w
17,6,Freeman-4ST1,6,8496.08,8411.665,4261.26,o / w
18,6,Freeman-4ST1,2,8498.15,8413.662,4259.97,o / w
19,6,Freeman-4ST1,2,8502.01,8417.656,4260.81,o / w
20,6,Freeman-4ST1,6,8506.07,8421.65,4264.61,o / w
21,6,Freeman-4ST1,2,8509.0,8424.646,4263.37,o / w
22,6,Freeman-4ST1,3,8698.08,8613.454,4328.9,o
23,6,Freeman-4ST1,3,8700.07,8615.453,4329.44,o
24,6,Freeman-4ST1,3,8713.99,8628.946,4333.86,o
25,6,Freeman-4ST1,3,8719.01,8634.443,4335.4,o
26,6,Freeman-4ST1,3,8724.04,8639.44,4336.84,o
27,6,Freeman-4ST1,3,8729.02,8644.438,4338.07,o
28,6,Freeman-4ST1,3,8733.92,8648.937,4338.84,o
29,6,Freeman-4ST1,3,9660.05,9515.609,4770.93,o
30,6,Freeman-4ST1,3,9666.06,9520.443,4772.28,w
31,6,Freeman-4ST1,3,9673.08,9526.071,4775.13,w
32,6,Freeman-4ST1,3,9679.99,9531.286,4777.09,w
33,6,Freeman-4ST1,3,9686.0,9536.491,4778.91,w
34,6,Freeman-4ST1,3,9796.04,9623.017,4820.49,w
35,6,Freeman-4ST1,3,10013.04,9786.977,4897.41,w
36,6,Freeman-4ST1,3,10144.06,9884.055,5731.39,w
37,6,Freeman-4ST1,7,10572.04,10199.571,5357.55,o
38,6,Freeman-4ST1,3,10609.08,10226.874,5369.4,o
39,6,Freeman-4ST1,7,10655.03,10260.828,5380.02,o
40,6,Freeman-4ST1,3,10670.08,10271.901,5380.21,o
41,6,Freeman-4ST1,3,10701.03,10294.791,5387.76,o
42,6,Freeman-4ST1,3,10748.06,10329.511,5396.14,o
43,6,Freeman-4ST1,3,10754.98,10334.314,5397.36,o
44,6,Freeman-4ST1,3,10755.0,10334.684,5397.18,o
45,6,Freeman-4ST1,3,10819.12,10381.988,5411.22,o
46,6,Freeman-4ST1,3,10823.06,10384.944,5412.1,o
47,6,Freeman-4ST1,3,10838.08,10396.027,5415.49,o
48,6,Freeman-4ST1,3,10851.05,10405.632,5418.11,o
