,WellID,Well,Run,AHDepth,TVDSS,Pressure,fluid
0,7,Freeman-8  - 702W6,1,7133,7051.8,3376.7,g
1,7,Freeman-8  - 702W6,1,8605,8429.2,4006.0,o / w
2,7,Freeman-8  - 702W6,1,8760,8564.7,4251.0,g
3,7,Freeman-8  - 702W6,1,9046,8811.5,4392.0,o
4,7,Freeman-8 - 702W6,1,9064,8826.9,4398.0,o
5,7,Freeman-8  - 702W6,1,9076,8837.2,4401.0,o
6,7,Freeman-8  - 702W6,1,9087,8846.7,4403.5,o
7,7,Freeman-8  - 702W6,1,9668,9346.1,4621.0,o
8,7,Freeman-8  - 702W6,1,9681,9357.2,4624.0,o
9,7,Freeman-8  - 702W6,1,9692,9366.6,4627.0,o
10,7,Freeman-8  - 702W6,1,9700,9373.5,4628.6,o
11,7,Freeman-8  - 702W6,1,9709,9381.2,4631.0,o
12,7,Freeman-8  - 702W6,1,10317,9897.6,4862.0,o
13,7,Freeman-8  - 702W6,1,10325,9904.3,4863.5,o
14,7,Freeman-8  - 702W6,1,10330,9908.5,4865.0,o
15,7,Freeman-8  - 702W6,1,10440,10001.5,5082.0,g ?
