columns,eval_params
"['GR', 'Log_ILD', 'RHOB', 'NPHI']","{'svr': {'MSE': 2.58348394777508e+21, 'R2': -0.0032345088758432006}, 'ann': {'RMSE': 50827983921.90891}, 'gbr': {'MSE': 2.8218425675730724e+20, 'RMSE': 16798340892.996166, 'R-squared': 0.8904204593629399}, 'dtr': {'MSE': 5.062498072503799e+20, 'RMSE': 22499995716.6747, 'R-squared': 0.803409935183564}, 'rfr': {'MSE': 3.856520191478649e+20, 'RMSE': 19638024828.069267, 'R-squared': 0.8502412161840653}}"
"['GR', 'Log_ILD', 'RHOB', 'PHI']","{'svr': {'MSE': 2.5834839469188595e+21, 'R2': -0.0032345085433505005}, 'ann': {'RMSE': 50827983921.69594}, 'gbr': {'MSE': 1.0553294371838006e+20, 'RMSE': 10272922842.033812, 'R-squared': 0.959018792800044}, 'dtr': {'MSE': 3.271254169180561e+20, 'RMSE': 18086608773.290146, 'R-squared': 0.8729686293327945}, 'rfr': {'MSE': 1.4462041792905406e+20, 'RMSE': 12025822962.652246, 'R-squared': 0.9438401024014781}}"
"['GR', 'Log_ILD', 'NPHI', 'PHI']","{'svr': {'MSE': 2.5834839476121344e+21, 'R2': -0.0032345088125671495}, 'ann': {'RMSE': 42465305483.7349}, 'gbr': {'MSE': 4.948170310171134e+19, 'RMSE': 7034323215.612952, 'R-squared': 0.9807849581754369}, 'dtr': {'MSE': 2.35873654324856e+20, 'RMSE': 15358178743.746147, 'R-squared': 0.908404079709053}, 'rfr': {'MSE': 6.457583831857695e+19, 'RMSE': 8035909302.535522, 'R-squared': 0.9749235099770693}}"
"['GR', 'RHOB', 'NPHI', 'PHI']","{'svr': {'MSE': 2.5834839475056264e+21, 'R2': -0.003234508771207345}, 'ann': {'RMSE': 38463971913.63818}, 'gbr': {'MSE': 7.290352838363781e+19, 'RMSE': 8538356304.561072, 'R-squared': 0.9716896497242558}, 'dtr': {'MSE': 3.247562112703695e+20, 'RMSE': 18020993626.056515, 'R-squared': 0.8738886539632668}, 'rfr': {'MSE': 1.602542659573879e+20, 'RMSE': 12659157395.23717, 'R-squared': 0.937769069576965}}"
"['Log_ILD', 'RHOB', 'NPHI', 'PHI']","{'svr': {'MSE': 2.583483947313297e+21, 'R2': -0.0032345086965206438}, 'ann': {'RMSE': 50089103976.30297}, 'gbr': {'MSE': 6.431161267921844e+19, 'RMSE': 8019452143.333635, 'R-squared': 0.9750261157160222}, 'dtr': {'MSE': 3.262556951096852e+20, 'RMSE': 18062549518.539326, 'R-squared': 0.8733063650992703}, 'rfr': {'MSE': 1.2295525227632825e+20, 'RMSE': 11088518939.710941, 'R-squared': 0.9522532538909791}}"
"['Depth', 'GR', 'Log_ILD', 'RHOB', 'NPHI']","{'svr': {'MSE': 2.583483947632522e+21, 'R2': -0.00323450882048415}, 'ann': {'RMSE': 50827983921.97911}, 'gbr': {'MSE': 2.753819342183147e+20, 'RMSE': 16594635706.10439, 'R-squared': 0.8930619794379914}, 'dtr': {'MSE': 6.01134784056214e+20, 'RMSE': 24518050168.319138, 'R-squared': 0.7665636125317522}, 'rfr': {'MSE': 3.044150735358362e+20, 'RMSE': 17447494763.886196, 'R-squared': 0.8817876507202062}}"
"['Depth', 'GR', 'Log_ILD', 'RHOB', 'PHI']","{'svr': {'MSE': 2.5834839470266007e+21, 'R2': -0.003234508585189033}, 'ann': {'RMSE': 45023237945.993645}, 'gbr': {'MSE': 8.624895963503914e+19, 'RMSE': 9287031798.967802, 'R-squared': 0.9665072690948866}, 'dtr': {'MSE': 3.2706623764817445e+20, 'RMSE': 18084972702.444824, 'R-squared': 0.8729916101938936}, 'rfr': {'MSE': 1.5739449382162366e+20, 'RMSE': 12545696227.058252, 'R-squared': 0.9388795940284875}}"
"['Depth', 'GR', 'Log_ILD', 'NPHI', 'PHI']","{'svr': {'MSE': 2.583483947213765e+21, 'R2': -0.0032345086578700055}, 'ann': {'RMSE': 24814064007.543396}, 'gbr': {'MSE': 5.012511184103742e+19, 'RMSE': 7079909027.737391, 'R-squared': 0.9805351057034832}, 'dtr': {'MSE': 2.0274722217546315e+20, 'RMSE': 14238933322.951658, 'R-squared': 0.9212679412851337}, 'rfr': {'MSE': 3.191260108535213e+19, 'RMSE': 5649123921.932686, 'R-squared': 0.9876075008306568}}"
"['Depth', 'GR', 'RHOB', 'NPHI', 'PHI']","{'svr': {'MSE': 2.583483947473421e+21, 'R2': -0.0032345087587011268}, 'ann': {'RMSE': 35280508882.49883}, 'gbr': {'MSE': 7.426066462566916e+19, 'RMSE': 8617462771.934044, 'R-squared': 0.9711626381620495}, 'dtr': {'MSE': 5.8424245320026227e+20, 'RMSE': 24171107819.05253, 'R-squared': 0.7731233472127569}, 'rfr': {'MSE': 1.4088089533035654e+20, 'RMSE': 11869325816.168184, 'R-squared': 0.9452922570088118}}"
"['Depth', 'Log_ILD', 'RHOB', 'NPHI', 'PHI']","{'svr': {'MSE': 2.58348394730212e+21, 'R2': -0.003234508692180338}, 'ann': {'RMSE': 50827983921.70976}, 'gbr': {'MSE': 8.077975723156704e+19, 'RMSE': 8987755961.949959, 'R-squared': 0.9686311036911553}, 'dtr': {'MSE': 1.3153490851942878e+21, 'RMSE': 36267741661.07242, 'R-squared': 0.48921548569263007}, 'rfr': {'MSE': 1.4895446838835764e+20, 'RMSE': 12204690425.748522, 'R-squared': 0.9421570770481651}}"
"['GR', 'Log_ILD', 'RHOB', 'NPHI', 'PHI']","{'svr': {'MSE': 2.583483947458367e+21, 'R2': -0.0032345087528551364}, 'ann': {'RMSE': 37202975863.038765}, 'gbr': {'MSE': 7.333885196230316e+19, 'RMSE': 8563810598.226888, 'R-squared': 0.9715206021723944}, 'dtr': {'MSE': 3.2617413253317696e+20, 'RMSE': 18060291596.017406, 'R-squared': 0.8733380379848156}, 'rfr': {'MSE': 9.274450613848659e+19, 'RMSE': 9630394910.827208, 'R-squared': 0.9639848781925244}}"
"['Depth', 'GR', 'Log_ILD', 'RHOB', 'NPHI', 'PHI']","{'svr': {'MSE': 2.583483947408184e+21, 'R2': -0.0032345087333676137}, 'ann': {'RMSE': 366001415913.7898}, 'gbr': {'MSE': 6.341745750877418e+19, 'RMSE': 7963507864.5515375, 'R-squared': 0.9753733395971893}, 'dtr': {'MSE': 3.262969138351926e+20, 'RMSE': 18063690482.157642, 'R-squared': 0.8732903587881505}, 'rfr': {'MSE': 1.6208030821508547e+20, 'RMSE': 12731076475.109459, 'R-squared': 0.9370599695226893}}"
