DEPT,DEN,DT,GR,NEUT,RES_DEP,PHI,PERM
3712.5,,,85.5533,,,,
3713.0,,,87.7167,,,,
3713.5,,,89.3406,,,,
3714.0,,,90.425,,1.29,,
3714.5,,,90.6067,,1.3233,,
3715.0,,,90.425,,1.3583,,
3715.5,,,90.3325,,1.395,,
3716.0,,,90.6925,,1.41,,
3716.5,,,91.505,,1.425,,
3717.0,,,92.3175,,1.4283,,
3717.5,,,93.04,,1.42,,
3718.0,,,93.6725,,1.4,,
3718.5,,,94.215,,1.38,,
3719.0,,,94.7575,,1.36,,
3719.5,,,95.1192,,1.34,,
3720.0,,,95.3,,1.32,,
3720.5,,,95.3,,1.3117,,
3721.0,,,95.39,,1.315,,
3721.5,,,95.57,,1.33,,
3722.0,,,95.84,,1.345,,
3722.5,,,96.11,,1.3639,,
3723.0,,,96.11,,1.3867,,
3723.5,,,95.84,,1.4133,,
3724.0,,,94.2167,,1.4311,,
3724.5,,,91.51,,1.44,,
3725.0,,,90.7883,,1.4467,,
3725.5,,,93.135,,1.46,,
3726.0,,,96.925,,1.4567,,
3726.5,,,99.09,,1.43,,
3727.0,,,99.8117,,1.3567,,
3727.5,,,100.715,,1.3044,,
3728.0,,,100.7167,,1.2733,,
3728.5,,,99.635,,1.2867,,
3729.0,,,97.65,,1.3156,,
3729.5,,,95.845,,1.36,,
3730.0,,,94.9417,,1.42,,
3730.5,,,94.76,,1.46,,
3731.0,,,96.745,,1.48,,
3731.5,,,100.175,,1.4833,,
3732.0,,,102.3417,,1.49,,
3732.5,,,101.8,,1.4933,,
3733.0,,,101.0767,,1.49,,
3733.5,,,101.4367,,1.4733,,
3734.0,,,102.88,,1.45,,
3734.5,,,103.2417,,1.42,,
3735.0,,,103.965,,1.39,,
3735.5,,,103.605,,1.3567,,
3736.0,,,101.8,,1.3333,,
3736.5,,,99.6333,,1.32,,
3737.0,,,98.0083,,1.3167,,
3737.5,,,96.925,,1.31,,
3738.0,,,96.7433,,1.3,,
3738.5,,,98.005,,1.29,,
3739.0,,,99.2683,,1.28,,
3739.5,,,99.09,,1.27,,
3740.0,,,97.6489,,1.27,,
3740.5,,,96.3867,,1.28,,
3741.0,,,95.3033,,1.2767,,
3741.5,,,95.4828,,1.25,,
3742.0,,,96.925,,1.2183,,
3742.5,,,98.0067,,1.205,,
3743.0,,,97.465,,1.21,,
3743.5,,,95.3,,1.215,,
3744.0,,,93.135,,1.2367,,
3744.5,,,92.955,,1.275,,
3745.0,,,91.87,,1.315,,
3745.5,,,92.1089,,1.3167,,
3746.0,,,91.6867,,1.28,,
3746.5,,,93.4933,,1.2467,,
3747.0,,,92.1711,,1.24,,
3747.5,,,90.6078,,1.27,,
3748.0,,,88.8033,,1.31,,
3748.5,,,89.8867,,1.3367,,
3749.0,,,90.4272,,1.34,,
3749.5,,,90.425,,1.3433,,
3750.0,,,90.6033,,1.37,,
3750.5,,,91.505,,1.4211,,
3751.0,,,91.9872,,1.4733,,
3751.5,,,91.3267,,1.5267,,
3752.0,,,89.5233,,1.5756,,
3752.5,,,87.84,,1.62,,
3753.0,,,86.2767,,1.66,,
3753.5,,,84.8333,,1.7133,,
3754.0,,,83.3294,,1.78,,
3754.5,,,81.765,,1.8267,,
3755.0,,,80.9217,,1.84,,
3755.5,,,80.86,,1.82,,
3756.0,,,81.58,,1.8,,
3756.5,,,81.7,,1.78,,
3757.0,,,81.22,,1.76,,
3757.5,,,80.86,,1.75,,
3758.0,,,81.22,,1.75,,
3758.5,,,81.76,,1.75,,
3759.0,,,81.76,,1.74,,
3759.5,,,81.4,,1.7533,,
3760.0,,,81.22,,1.8,,
3760.5,,,81.22,,1.8767,,
3761.0,,,81.22,,1.95,,
3761.5,,,81.22,,2.0,,
3762.0,,,81.22,,2.03,,
3762.5,,,81.1,,1.93,,
3763.0,,,80.86,,1.72,,
3763.5,,,80.5,,1.4733,,
3764.0,,,79.9433,,1.3,,
3764.5,,,79.19,,1.23,,
3765.0,,,79.55,,1.19,,
3765.5,,,79.685,,1.2633,,
3766.0,,,79.595,,1.42,,
3766.5,,,78.6322,,1.44,,
3767.0,,,78.3317,,1.385,,
3767.5,,,78.6933,,1.255,,
3768.0,,,79.055,,1.27,,
3768.5,,,79.4167,,1.285,,
3769.0,,,79.7783,,1.2883,,
3769.5,,,79.6594,,1.28,,
3770.0,,,78.3366,,1.2733,,
3770.5,,,77.0733,,1.2733,,
3771.0,,,76.35,,1.28,,
3771.5,,,78.1533,,1.24,,
3772.0,,,81.22,,1.2,,
3772.5,,,86.9967,,1.1533,,
3773.0,,,90.6067,,1.14,,
3773.5,,,93.8567,,1.1067,,
3774.0,,,95.3,,1.0733,,
3774.5,,,97.1067,,1.04,,
3775.0,,,97.2883,,1.06,,
3775.5,,,95.845,,1.1,,
3776.0,,,94.3983,,1.16,,
3776.5,,,95.66,,1.1933,,
3777.0,,,98.005,,1.1867,,
3777.5,,,101.255,,1.14,,
3778.0,,,101.9767,,1.11,,
3778.5,,,101.795,,1.13,,
3779.0,,,100.5317,,1.2033,,
3779.5,,,99.09,,1.2567,,
3780.0,,,97.1067,,1.29,,
3780.5,,,94.76,,1.2967,,
3781.0,,,93.315,,1.3,,
3781.5,,,93.135,,1.3033,,
3782.0,,,91.6917,,1.31,,
3782.5,,,88.8033,,1.3233,,
3783.0,,,84.47,,1.34,,
3783.5,,,83.7467,,1.36,,
3784.0,,,83.7467,,1.36,,
3784.5,,,84.47,,1.3367,,
3785.0,,,84.4717,,1.29,,
3785.5,,,85.555,,1.25,,
3786.0,,,86.9983,,1.22,,
3786.5,,,88.6217,,1.2067,,
3787.0,,,90.425,,1.2,,
3787.5,,,92.2283,,1.2,,
3788.0,,,93.3117,,1.18,,
3788.5,,,93.675,,1.16,,
3789.0,,,94.94,,1.14,,
3789.5,,,96.925,,1.1467,,
3790.0,,,98.3683,,1.16,,
3790.5,,,99.09,,1.1733,,
3791.0,,,99.09,,1.1767,,
3791.5,,,99.45,,1.17,,
3792.0,,,100.3517,,1.1667,,
3792.5,,,101.795,,1.17,,
3793.0,,,103.96,,1.19,,
3793.5,,,106.125,,1.21,,
3794.0,,,104.3217,,1.23,,
3794.5,,,101.9767,,1.2433,,
3795.0,,,99.09,,1.26,,
3795.5,,,100.5333,,1.28,,
3796.0,,,100.895,,1.2933,,
3796.5,,,100.175,,1.3,,
3797.0,,,98.7317,,1.3,,
3797.5,,,98.55,,1.29,,
3798.0,,,99.63,,1.27,,
3798.5,,,99.99,,1.25,,
3799.0,,,100.17,,1.2333,,
3799.5,,,100.17,,1.22,,
3800.0,,,100.53,,1.2067,,
3800.5,,,100.71,,1.2033,,
3801.0,,,101.4333,,1.21,,
3801.5,,,103.96,,1.21,,
3802.0,,,105.405,,1.2,,
3802.5,,,105.045,,1.18,,
3803.0,,,107.935,,1.1667,,
3803.5,,,112.4483,,1.1667,,
3804.0,,,118.585,,1.1767,,
3804.5,,,120.3883,,1.19,,
3805.0,,,122.5533,,1.2033,,
3805.5,,,125.08,,1.2167,,
3806.0,,,130.1333,,1.23,,
3806.5,,,132.4783,,1.24,,
3807.0,,,132.115,,1.25,,
3807.5,,,125.9783,,1.23,,
3808.0,,,121.2867,,1.2033,,
3808.5,,,118.04,,1.17,,
3809.0,,,116.2367,,1.1633,,
3809.5,,,113.71,,1.16,,
3810.0,,,108.6567,,1.1533,,
3810.5,,,104.6867,,1.1533,,
3811.0,,,101.8,,1.15,,
3811.5,,,100.7167,,1.15,,
3812.0,,,98.91,,1.1467,,
3812.5,,,99.9933,,1.15,,
3813.0,,,100.7133,,1.15,,
3813.5,,,99.27,,1.1533,,
3814.0,,,95.2983,,1.1667,,
3814.5,,,93.135,,1.2,,
3815.0,,,93.135,,1.22,,
3815.5,,,94.2167,,1.2267,,
3816.0,,,93.6733,,1.22,,
3816.5,,,92.59,,1.22,,
3817.0,,,90.9667,,1.2333,,
3817.5,,,91.51,,1.2467,,
3818.0,,,90.4267,,1.26,,
3818.5,,,88.44,,1.2667,,
3819.0,,,86.0917,,1.2567,,
3819.5,,,87.175,,1.23,,
3820.0,,,88.9817,,1.1833,,
3820.5,,,89.1633,,1.1333,,
3821.0,,,87.72,,1.1,,
3821.5,,,84.47,,1.08,,
3822.0,,,83.0267,,1.1267,,
3822.5,,,83.3867,,1.1733,,
3823.0,,,85.9133,,1.2167,,
3823.5,,,88.8,,1.21,,
3824.0,,,89.5233,,1.21,,
3824.5,,,87.3567,,1.28,,
3825.0,,,83.9267,,1.3667,,
3825.5,,,81.76,,1.46,,
3826.0,,,80.1367,,1.5,,
3826.5,,,80.3167,,1.51,,
3827.0,,,79.5967,,1.4733,,
3827.5,,,79.7767,,1.4067,,
3828.0,,,79.4167,,1.3433,,
3828.5,,,80.1367,,1.3067,,
3829.0,,,80.86,,1.2867,,
3829.5,,,81.22,,1.2833,,
3830.0,,,81.7633,,1.29,,
3830.5,,,83.2067,,1.2933,,
3831.0,,,83.57,,1.28,,
3831.5,,,83.57,,1.26,,
3832.0,,,83.75,,1.2267,,
3832.5,,,82.3067,,1.21,,
3833.0,,,81.0433,,1.1833,,
3833.5,,,79.78,,1.1633,,
3834.0,,,79.78,,1.1433,,
3834.5,,,79.4167,,1.13,,
3835.0,,,79.0567,,1.1267,,
3835.5,,,79.7767,,1.11,,
3836.0,,,81.5833,,1.1,,
3836.5,,,83.0267,,1.0933,,
3837.0,,,83.93,,1.0967,,
3837.5,,,85.7333,,1.1033,,
3838.0,,,86.9967,,1.11,,
3838.5,,,88.62,,1.1167,,
3839.0,,,89.3433,,1.1267,,
3839.5,,,89.8833,,1.14,,
3840.0,,,90.4267,,1.1533,,
3840.5,,,90.4267,,1.1533,,
3841.0,,,90.0667,,1.14,,
3841.5,,,89.5233,,1.1267,,
3842.0,,,88.98,,1.12,,
3842.5,,,89.34,,1.1133,,
3843.0,,,89.7,,1.1067,,
3843.5,,,91.1433,,1.1033,,
3844.0,,,91.3267,,1.1,,
3844.5,,,92.05,,1.09,,
3845.0,,,89.8867,,1.0733,,
3845.5,,,87.54,,1.0633,,
3846.0,,,87.0,,1.0633,,
3846.5,,,87.36,,1.07,,
3847.0,,,91.15,,1.0767,,
3847.5,,,90.9667,,1.08,,
3848.0,,,90.0633,,1.0867,,
3848.5,,,86.6333,,1.0933,,
3849.0,,,84.83,,1.0933,,
3849.5,,,82.6667,,1.0867,,
3850.0,,,81.1033,,1.08,,
3850.5,,,80.38,,1.0833,,
3851.0,,,80.74,,1.1,,
3851.5,,,81.22,,1.1133,,
3852.0,,,80.77,,1.1267,,
3852.5,,,81.9733,,1.1233,,
3853.0,,,83.2967,,1.1267,,
3853.5,,,85.2833,,1.1233,,
3854.0,,,84.92,,1.12,,
3854.5,,,84.14,,1.1167,,
3855.0,,,83.5967,,1.11,,
3855.5,,,85.0433,,1.1,,
3856.0,,,86.09,,1.08,,
3856.5,,,84.5567,,1.0633,,
3857.0,,,82.27,,1.06,,
3857.5,,,80.44,,1.07,,
3858.0,,,81.2233,,1.08,,
3858.5,,,81.1033,,1.08,,
3859.0,,,80.26,,1.0767,,
3859.5,,,78.755,,1.0733,,
3860.0,,,78.515,,1.07,,
3860.5,,,78.8057,,1.0647,,
3861.0,,,78.842,,1.064,,
3861.5,,,78.624,,1.068,,
3862.0,,,78.406,,1.072,,
3862.5,,,78.188,,1.076,,
3863.0,,,78.0427,,1.0787,,
3863.5,,,78.3333,,1.0733,,
3864.0,,,78.8767,,1.0633,,
3864.5,,,79.7358,,1.0567,,
3865.0,,,80.5475,,1.06,,
3865.5,,,81.495,,1.07,,
3866.0,,,82.4425,,1.08,,
3866.5,,,83.6142,,1.09,,
3867.0,,,83.5667,,1.09,,
3867.5,,,83.4467,,1.07,,
3868.0,,,82.5433,,1.0567,,
3868.5,,,81.4633,,1.0567,,
3869.0,,,80.32,,1.0833,,
3869.5,,,79.96,,1.0967,,
3870.0,,,82.6667,,1.0833,,
3870.5,,,85.3733,,1.06,,
3871.0,,,86.8167,,1.0467,,
3871.5,,,86.9967,,1.0667,,
3872.0,,,85.9133,,1.0933,,
3872.5,,,86.2767,,1.1267,,
3873.0,,,85.1933,,1.1467,,
3873.5,,,86.2767,,1.14,,
3874.0,,,87.3567,,1.12,,
3874.5,,,89.16,,1.1067,,
3875.0,,,89.52,,1.1133,,
3875.5,,,88.8,,1.1133,,
3876.0,,,89.5233,,1.1,,
3876.5,,,91.69,,1.0867,,
3877.0,,,92.05,,1.08,,
3877.5,,,92.41,,1.0867,,
3878.0,,,93.8533,,1.1,,
3878.5,,,96.02,,1.1067,,
3879.0,,,96.5633,,1.11,,
3879.5,,,94.76,,1.1033,,
3880.0,,,93.6767,,1.1133,,
3880.5,,,92.05,,1.13,,
3881.0,,,90.6033,,1.1433,,
3881.5,,,89.88,,1.1422,,
3882.0,,,90.2417,,1.1267,,
3882.5,,,90.965,,1.1133,,
3883.0,,,91.8683,,1.1078,,
3883.5,,,92.59,,1.11,,
3884.0,,,91.8683,,1.1167,,
3884.5,,,89.885,,1.12,,
3885.0,,,88.7583,,1.1267,,
3885.5,,,89.48,,1.1333,,
3886.0,,,89.84,,1.14,,
3886.5,,,89.1633,,1.14,,
3887.0,,,88.08,,1.1533,,
3887.5,,,87.72,,1.16,,
3888.0,,,87.0892,,1.16,,
3888.5,,,85.8275,,1.14,,
3889.0,,,85.015,,1.12,,
3889.5,,,84.2025,,1.1133,,
3890.0,,,84.3819,,1.12,,
3890.5,,,85.5533,,1.14,,
3891.0,,,87.7167,,1.1489,,
3891.5,,,89.3406,,1.1467,,
3892.0,,,90.425,,1.1333,,
3892.5,,,89.705,,1.1278,,
3893.0,,,87.72,,1.13,,
3893.5,,,84.8317,,1.1367,,
3894.0,,,82.305,,1.1233,,
3894.5,,,80.8617,,1.09,,
3895.0,,,80.14,,1.0433,,
3895.5,,,81.4033,,1.0,,
3896.0,,,83.93,,0.9767,,
3896.5,,,87.9,,0.97,,
3897.0,,,90.6067,,0.98,,
3897.5,,,92.05,,0.99,,
3898.0,,,92.4117,,1.0067,,
3898.5,,,93.135,,1.03,,
3899.0,,,92.955,,1.05,,
3899.5,,,91.51,,1.06,,
3900.0,,,91.51,,1.06,,
3900.5,,,92.955,,1.0667,,
3901.0,,,95.845,,1.08,,
3901.5,,,96.3867,,1.0933,,
3902.0,,,95.845,,1.1,,
3902.5,,,95.1217,,1.1,,
3903.0,,,95.3,,1.1,,
3903.5,,,95.66,,1.14,,
3904.0,,,95.3,,1.18,,
3904.5,,,95.3017,,1.22,,
3905.0,,,96.385,,1.22,,
3905.5,,,97.4683,,1.22,,
3906.0,,,96.7467,,1.2367,,
3906.5,,,94.22,,1.27,,
3907.0,,,92.2933,,1.2833,,
3907.5,,,91.69,,1.26,,
3908.0,,,92.41,,1.2167,,
3908.5,,,93.2517,,1.19,,
3909.0,,,94.215,,1.1789,,
3909.5,,,95.1183,,1.1667,,
3910.0,,,95.84,,1.1533,,
3910.5,,,96.2,,1.1444,,
3911.0,,,96.38,,1.14,,
3911.5,,,96.38,,1.14,,
3912.0,,,95.6583,,1.1467,,
3912.5,,,94.215,,1.16,,
3913.0,,,92.6517,,1.1711,,
3913.5,,,91.69,,1.1733,,
3914.0,,,91.33,,1.1667,,
3914.5,,,92.1733,,1.1622,,
3915.0,,,94.22,,1.1633,,
3915.5,,,94.94,,1.17,,
3916.0,,,95.4189,,1.1733,,
3916.5,,,95.6567,,1.17,,
3917.0,,,98.1833,,1.1667,,
3917.5,,,99.1478,,1.17,,
3918.0,,,99.63,,1.17,,
3918.5,,,99.63,,1.16,,
3919.0,,,100.35,,1.1567,,
3919.5,,,100.71,,1.17,,
3920.0,,,100.35,,1.1933,,
3920.5,,,99.63,,1.21,,
3921.0,,,98.55,,1.2144,,
3921.5,,,97.4683,,1.2133,,
3922.0,,,96.385,,1.2067,,
3922.5,,,96.0228,,1.2022,,
3923.0,,,96.3833,,1.2,,
3923.5,,,97.4667,,1.21,,
3924.0,,,97.8272,,1.23,,
3924.5,,,97.465,,1.25,,
3925.0,,,96.5617,,1.26,,
3925.5,,,95.84,,1.26,,
3926.0,,,96.8033,,1.26,,
3926.5,,,99.27,,1.26,,
3927.0,,,103.24,,1.2711,,
3927.5,,,105.4055,,1.2933,,
3928.0,,,105.7667,,1.3267,,
3928.5,,,104.3233,,1.3378,,
3929.0,,,101.5561,,1.3267,,
3929.5,,,97.465,,1.2933,,
3930.0,,,94.4572,,1.26,,
3930.5,,,93.8567,,1.2267,,
3931.0,,,95.6633,,1.1933,,
3931.5,,,96.2353,,1.1733,,
3932.0,,,95.5725,,1.1667,,
3932.5,,,93.675,,1.1733,,
3933.0,,,91.7775,,1.1711,,
3933.5,,,91.3558,,1.16,,
3934.0,,,92.41,,1.14,,
3934.5,,,94.94,,1.1289,,
3935.0,,,97.2278,,1.1267,,
3935.5,,,99.2733,,1.1333,,
3936.0,,,101.0767,,1.1444,,
3936.5,,,102.1589,,1.16,,
3937.0,,,102.52,,1.18,,
3937.5,,,102.16,,1.2,,
3938.0,,,103.1833,,1.2067,,
3938.5,,,105.59,,1.2,,
3939.0,,,107.3944,,1.2033,,
3939.5,,,107.2133,,1.23,,
3940.0,,,105.0467,,1.2533,,
3940.5,,,101.7978,,1.25,,
3941.0,,,97.4667,,1.22,,
3941.5,,,92.0533,,1.19,,
3942.0,,,88.3233,,1.1656,,
3942.5,,,86.2767,,1.1467,,
3943.0,,,85.9133,,1.1333,,
3943.5,,,86.4836,,1.1356,,
3944.0,,,87.9875,,1.1533,,
3944.5,,,90.425,,1.1867,,
3945.0,,,92.8625,,1.2111,,
3945.5,,,95.9308,,1.2267,,
3946.0,,,99.63,,1.2333,,
3946.5,,,102.1567,,1.2444,,
3947.0,,,102.5167,,1.2533,,
3947.5,,,102.1567,,1.2667,,
3948.0,,,99.27,,1.2733,,
3948.5,,,99.6333,,1.2733,,
3949.0,,,99.1833,,1.26,,
3949.5,,,101.53,,1.2333,,
3950.0,,,100.0867,,1.2,,
3950.5,,,100.5367,,1.1667,,
3951.0,,,99.6333,,1.1467,,
3951.5,,,98.55,,1.14,,
3952.0,,,96.3833,,1.1333,,
3952.5,,,95.48,,1.1467,,
3953.0,,,95.84,,1.16,,
3953.5,,,95.12,,1.18,,
3954.0,,,94.0383,,1.1867,,
3954.5,,,92.595,,1.18,,
3955.0,,,89.705,,1.1667,,
3955.5,,,87.72,,1.14,,
3956.0,,,86.2767,,1.1333,,
3956.5,,,85.9167,,1.12,,
3957.0,,,85.0386,,1.1111,,
3957.5,,,84.0057,,1.0933,,
3958.0,,,83.5414,,1.0867,,
3958.5,,,83.0771,,1.08,,
3959.0,,,82.6128,,1.0733,,
3959.5,,,82.1486,,1.0667,,
3960.0,,,81.6843,,1.0389,,
3960.5,,,79.7498,,0.99,,
3961.0,,,76.345,,0.95,,
3961.5,,,72.915,,0.94,,
3962.0,,,70.93,,0.96,,
3962.5,,,68.0433,,0.98,,
3963.0,,,66.24,,0.9933,,
3963.5,,,65.52,,1.01,,
3964.0,,,68.4067,,1.03,,
3964.5,,,69.85,,1.05,,
3965.0,,,69.85,,1.0433,,
3965.5,,,70.5733,,1.01,,
3966.0,,,73.4617,,0.975,,
3966.5,,,78.515,,0.955,,
3967.0,,,82.8483,,0.975,,
3967.5,,,83.21,,0.9767,,
3968.0,,,84.2933,,0.9933,,
3968.5,,,83.39,,0.9933,,
3969.0,,,84.29,,1.0067,,
3969.5,,,83.5667,,1.01,,
3970.0,,,82.6633,,1.01,,
3970.5,,,83.3867,,1.0167,,
3971.0,,,82.3033,,1.02,,
3971.5,,,82.845,,1.02,,
3972.0,,,82.845,,1.02,,
3972.5,,,83.3867,,1.02,,
3973.0,,,82.845,,1.02,,
3973.5,,,82.1233,,1.02,,
3974.0,,,82.305,,1.02,,
3974.5,,,82.125,,1.02,,
3975.0,,,80.68,,1.02,,
3975.5,,,79.7767,,1.02,,
3976.0,,,80.68,,1.02,,
3976.5,,,82.6067,,1.0233,,
3977.0,,,83.75,,1.03,,
3977.5,,,84.11,,1.0333,,
3978.0,,,83.8083,,1.03,,
3978.5,,,82.845,,1.0211,,
3979.0,,,82.3033,,1.0133,,
3979.5,,,82.845,,1.0067,,
3980.0,,,84.1083,,1.0056,,
3980.5,,,85.01,,1.01,,
3981.0,,,84.1067,,1.0133,,
3981.5,,,81.76,,1.01,,
3982.0,,,79.5945,,1.0067,,
3982.5,,,79.0533,,1.01,,
3983.0,,,80.1367,,1.0167,,
3983.5,,,80.8589,,1.02,,
3984.0,,,81.22,,1.02,,
3984.5,,,82.1233,,1.02,,
3985.0,,,83.93,,1.02,,
3985.5,,,85.9767,,1.02,,
3986.0,,,87.36,,1.02,,
3986.5,,,88.08,,1.0178,,
3987.0,,,87.8383,,1.0133,,
3987.5,,,86.635,,1.0067,,
3988.0,,,85.4328,,0.9989,,
3988.5,,,85.1933,,0.99,,
3989.0,,,85.9167,,0.9833,,
3989.5,,,86.2172,,0.98,,
3990.0,,,86.095,,0.98,,
3990.5,,,85.3706,,0.9833,,
3991.0,,,84.4667,,0.99,,
3991.5,,,83.3833,,1.0,,
3992.0,,,83.5645,,1.01,,
3992.5,,,85.01,,1.0167,,
3993.0,,,86.455,,1.02,,
3993.5,,,86.635,,1.02,,
3994.0,,,86.2728,,1.0233,,
3994.5,,,86.6333,,1.03,,
3995.0,,,87.7167,,1.04,,
3995.5,,,89.1622,,1.05,,
3996.0,,,90.4267,,1.0567,,
3996.5,,,91.51,,1.06,,
3997.0,,,92.0508,,1.0567,,
3997.5,,,92.5925,,1.05,,
3998.0,,,93.135,,1.05,,
3998.5,,,93.6775,,1.0578,,
3999.0,,,92.9558,,1.0733,,
3999.5,,,90.97,,1.0867,,
4000.0,,,89.4044,,1.0989,,
4000.5,,,89.5233,,1.11,,
