DEPT,DEN,DT,GR,NEU,RES_DEP,PHI,PERM
5733.0,,,58.2888,,,,
5733.5,,,59.0087,,,,
5734.0,,,53.7225,,,,
5734.5,,,52.7401,,,,
5735.0,,,52.4755,,,,
5735.5,,,54.0581,,,,
5736.0,,,56.2654,,,,
5736.5,,,53.4645,,,,
5737.0,,,54.2262,,,,
5737.5,,,52.3342,,,,
5738.0,,,56.4277,,,,
5738.5,,,53.9791,,,,
5739.0,,,53.3345,,,,
5739.5,,,49.7239,,,,
5740.0,,,51.7429,,,,
5740.5,,,53.8436,,,,
5741.0,,,56.1322,,,,
5741.5,,,55.8281,,,,
5742.0,,,51.6456,,,,
5742.5,,,45.9272,,,,
5743.0,,,40.8348,,,,
5743.5,,,41.1331,,,,
5744.0,,,41.447,,,,
5744.5,,,43.3622,,,,
5745.0,,,43.5837,,,,
5745.5,,,45.0275,,,,
5746.0,,,44.5768,,,,
5746.5,,,47.9295,,,,
5747.0,2.6342,137.0,50.0686,0.562,0.0938,0.0102,81.0975276504025
5747.5,2.3044,130.4,50.6811,0.5091,0.1975,0.223,1293.2922776030707
5748.0,2.1121,109.2,53.6817,0.5849,0.9398,0.347,6493.991919396036
5748.5,2.0211,106.9,58.954,0.6879,0.7118,0.4057,13940.18541661678
5749.0,1.9073,102.1,66.5252,0.6982,0.442,0.4792,36280.31299317708
5749.5,1.7673,108.5,71.9864,0.6073,0.4639,0.5695,117495.87964405406
5750.0,1.6817,112.6,73.5985,0.6023,0.4781,0.6247,240989.64014326243
5750.5,1.7051,108.0,70.2409,0.6389,0.5783,0.6096,197996.35010041445
5751.0,1.8337,103.95,67.787,0.5681,0.7377,0.5266,67230.01889873164
5751.5,1.9693,103.3,64.5058,0.6596,0.8223,0.4392,21557.661635911205
5752.0,1.9825,102.6,66.8394,0.4478,0.7461,0.4306,19275.10425053838
5752.5,1.854,108.3,67.224,0.5943,0.6503,0.5135,56692.48754726011
5753.0,1.7136,104.4,74.6025,0.6313,0.6298,0.6041,184320.07800723327
5753.5,1.6907,93.65,73.1492,0.702,0.6655,0.6189,223469.52915110867
5754.0,1.766,87.2,68.1026,0.5597,0.7021,0.5703,118725.50471150588
5754.5,1.845,88.55,55.9883,0.544,0.7512,0.5194,61216.817215268165
5755.0,1.885,98.0,60.3373,0.5954,0.8103,0.4935,43700.944794201605
5755.5,1.8894,100.4,69.6905,0.643,0.8313,0.4907,42137.22877723577
5756.0,1.875,100.45,78.3202,0.6079,0.8487,0.5,47558.38514096777
5756.5,1.8406,102.5,82.8544,0.5522,0.9141,0.5222,63488.57832450609
5757.0,1.8387,103.05,77.0706,0.4606,1.0139,0.5234,64487.81814107344
5757.5,1.8916,101.4,77.7754,0.4535,1.2027,0.4893,41376.48006222253
5758.0,1.9621,100.8,72.9894,0.466,1.4675,0.4438,22887.56702241961
5758.5,2.002,99.1,76.7209,0.5193,1.4495,0.4181,16381.363835419286
5759.0,2.0108,99.1,74.6218,0.4741,1.2906,0.4124,15210.208608183528
5759.5,2.019,99.65,75.3529,0.5231,1.2443,0.4071,14196.48991924223
5760.0,2.0375,101.9,77.0051,0.4688,1.2984,0.3952,12159.76941768083
5760.5,2.051,102.9,80.5934,0.4977,1.3873,0.3865,10858.135344689777
5761.0,2.0396,103.2,79.0965,0.4965,1.3927,0.3938,11940.236021019577
5761.5,2.0025,102.2,85.7529,0.4909,1.2593,0.4177,16296.313188718772
5762.0,1.9591,101.65,81.5246,0.5585,1.1534,0.4457,23460.53568515448
5762.5,1.9302,101.9,84.0992,0.5406,1.1678,0.4644,29924.393479647075
5763.0,1.9103,101.4,74.3386,0.5308,1.2406,0.4772,35348.220578437096
5763.5,1.8781,103.6,73.6756,0.5277,1.2634,0.498,46336.54314485502
5764.0,1.8395,106.7,75.8856,0.4593,1.2844,0.5229,64069.571030383995
5764.5,1.8136,108.5,73.709,0.5015,1.3266,0.5396,79622.49457158455
5765.0,1.8077,110.0,74.6055,0.5421,1.3503,0.5434,83658.94248121309
5765.5,1.8137,111.1,72.5641,0.684,1.3287,0.5395,79518.9444405003
5766.0,1.8213,110.8,72.8628,0.7663,1.3003,0.5346,74606.57587004013
5766.5,1.828,111.65,71.4169,0.7131,1.2846,0.5303,70546.36652679257
5767.0,1.8211,112.0,73.9111,0.5711,1.3053,0.5348,74801.00880370912
5767.5,1.7927,111.45,77.671,0.5339,1.3386,0.5531,94914.85609953762
5768.0,1.7665,115.25,79.7853,0.5905,1.3534,0.57,118262.89449039563
5768.5,1.7689,113.3,79.1207,0.7396,1.3465,0.5685,115976.74151758348
5769.0,1.8052,113.55,78.9746,0.8467,1.3269,0.545,85419.1303154661
5769.5,1.8506,113.5,80.0661,0.695,1.3406,0.5157,58339.04679895374
5770.0,1.866,111.65,78.3457,0.5991,1.3878,0.5058,51286.98379798615
5770.5,1.8632,110.4,79.0866,0.5147,1.4021,0.5076,52502.535912543746
5771.0,1.8794,111.85,81.6789,0.5434,1.3814,0.4972,45856.64141583383
5771.5,1.9159,112.05,84.3521,0.5745,1.3481,0.4736,33730.38612300473
5772.0,1.9441,113.5,85.0058,0.5668,1.3637,0.4554,26617.03940465846
5772.5,1.9537,114.5,85.4017,0.6097,1.3951,0.4492,24553.815860847553
5773.0,1.967,113.3,84.5859,0.7175,1.4218,0.4406,21954.02119485747
5773.5,1.985,108.6,85.1062,0.7022,1.4328,0.429,18877.912147546318
5774.0,1.9968,106.7,81.7653,0.5534,1.4209,0.4214,17100.183847612236
5774.5,2.0078,105.45,84.1946,0.4807,1.4618,0.4143,15590.981840987684
5775.0,2.022,105.2,83.3709,0.4916,1.5227,0.4052,13849.773887105572
5775.5,2.021,108.45,87.3117,0.6139,1.547,0.4058,13958.338424524372
5776.0,2.0,111.05,90.1821,0.6084,1.5308,0.4194,16660.856004492027
5776.5,1.9729,111.9,94.736,0.5941,1.496,0.4368,20894.764881883835
5777.0,1.9527,109.15,87.4945,0.5451,1.501,0.4499,24778.51120437386
5777.5,1.9462,109.6,87.3968,0.6403,1.5407,0.4541,26170.528488562857
5778.0,1.9491,111.5,83.841,0.7052,1.5715,0.4522,25531.374595728044
5778.5,1.9531,113.5,86.8134,0.6477,1.5608,0.4496,24681.96250934079
5779.0,1.954,111.5,89.3733,0.6081,1.5453,0.449,24489.992250351595
5779.5,1.9544,114.15,92.6576,0.6884,1.5575,0.4488,24426.334538845833
5780.0,1.9567,114.7,91.108,0.6981,1.5731,0.4473,23954.146389202484
