Depth,GR,Log_ILD,RHOB,NPHI,PHI,PERM,well
6733.5,76.2505,1.5776,2.1785,0.5321,0.281,354.5960751843248,freeman_3
6734.0,77.0579,1.5231,2.1756,0.4716,0.2829,387.0168924021594,freeman_3
6734.5,74.6872,1.4941,2.1785,0.4518,0.0703,0.0216859189434629,freeman_3
6735.0,75.007,1.4778,2.1879,0.4611,0.2747,265.3060766285802,freeman_3
6735.5,74.3141,1.4495,2.2009,0.4116,0.0509,0.0088760287926965,freeman_3
6736.0,71.8054,1.4626,2.205,0.3571,0.0474,0.0075548540058074,freeman_3
6736.5,66.6753,1.681,2.1947,0.3511,0.0563,0.0113817050138346,freeman_3
6737.0,57.8596,2.2541,2.1788,0.3831,0.07,0.0213884081082942,freeman_3
6737.5,49.921,2.445,2.1704,0.4002,0.0772,0.0297963655127754,freeman_3
6738.0,45.3599,1.8903,2.1729,0.403,0.0751,0.0270500279039239,freeman_3
6738.5,44.1212,1.6435,2.1829,0.4421,0.0665,0.0182047968127086,freeman_3
