model,best_params,best_score,RMSE,R-squared
svm,"{'svr__C': 10, 'svr__gamma': 'scale', 'svr__kernel': 'poly'}",0.17669729983263224,1425.5423191729353,0.08162268704305653
random_forest,"{'max_depth': 10, 'n_estimators': 150}",0.6849064425968969,762.484097019789,0.7372622369851689
decision_tree,"{'max_depth': 10, 'min_samples_split': 2}",0.7045599847351632,383.5657515533456,0.9335124144440541
neural_network,"{'activation': 'logistic', 'hidden_layer_sizes': (10,), 'max_iter': 1000}",-0.0012626170268984272,1487.7100465684025,-0.0002245488291245934
gradient_boosting,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 50}",0.7210606043518234,375.1071521912715,0.9364125209417741
