DEPT,DEN,DT,GR,NEUT,RES_DEP,PHI,PERM
7681.5,2.2382,137.507,39.0321,0.5983,,0.0188,0.0020243533985008816
7682.0,2.2382,137.507,39.0321,0.5983,,0.0188,0.0020243533985008816
7682.5,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7683.0,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7683.5,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7684.0,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7684.5,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7685.0,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7685.5,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7686.0,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7686.5,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7687.0,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7687.5,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7688.0,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7688.5,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7689.0,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7689.5,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7690.0,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7690.5,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7691.0,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7691.5,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7692.0,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7692.5,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7693.0,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7693.5,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7694.0,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7694.5,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7695.0,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7695.5,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7696.0,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7696.5,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7697.0,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7697.5,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7698.0,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7698.5,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7699.0,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7699.5,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7700.0,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7700.5,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7701.0,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7701.5,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7702.0,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7702.5,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7703.0,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7703.5,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7704.0,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7704.5,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7705.0,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7705.5,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7706.0,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7706.5,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7707.0,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
7707.5,2.2382,137.507,39.0321,0.5983,0.9332,0.0188,0.0020243533985008816
