DEPT,DEN,DT,GR,NEU,RES_DEP,PHI,PERM
6274.5,2.0086,176.0,100.954,0.4744,1.2268,0.3943,65387.57365751667
6275.0,2.011,175.8,99.2256,0.4785,1.2499,0.3927,60743.32951615678
6275.5,2.0118,175.8,101.62,0.5331,1.2604,0.3921,59088.07713556047
6276.0,2.0067,176.1,103.32,0.5159,1.2536,0.3955,69102.33045668168
6276.5,1.9999,175.7,103.113,0.5562,1.2516,0.4001,85404.942127572
6277.0,1.9994,175.2,106.31,0.4589,1.2585,0.4004,86592.9171994546
6277.5,2.0106,174.45,108.522,0.4609,1.2757,0.3929,61305.32114416997
6278.0,2.0315,174.1,109.599,0.4855,1.3031,0.379,32324.175535202496
6278.5,2.0513,173.5,108.199,0.5555,1.3196,0.3658,17601.726416446254
6279.0,2.057,173.05,111.74,0.4809,1.3068,0.362,14776.217406312991
6279.5,2.0494,172.15,112.008,0.5246,1.2905,0.3671,18687.556882749752
6280.0,2.0443,171.3,111.317,0.6131,1.3136,0.3705,21854.725923423903
6280.5,2.0503,171.1,108.563,0.6337,1.3454,0.3665,18178.321987921056
6281.0,2.0571,170.75,107.043,0.529,1.3369,0.3619,14708.33398939498
6281.5,2.0568,170.45,109.143,0.4789,1.2852,0.3621,14844.414125763857
6282.0,2.0566,170.0,106.718,0.4744,1.262,0.3623,14981.75326288207
6282.5,2.0637,168.9,107.93,0.46,1.2802,0.3575,12010.82261518448
6283.0,2.0704,168.35,110.473,0.5599,1.3073,0.3531,9808.035362634635
6283.5,2.0681,167.6,112.637,0.5527,1.3005,0.3546,10509.422763536764
6284.0,2.059,166.8,108.411,0.567,1.2635,0.3607,13917.653221750797
6284.5,2.0482,166.6,106.25,0.4604,1.249,0.3679,19388.796042026526
6285.0,2.0416,166.55,103.268,0.5024,1.1458,0.3723,23743.32691233456
6285.5,2.0493,165.9,105.532,0.4645,1.0,0.3671,18687.556882749752
6286.0,2.0701,165.5,106.683,0.521,0.889,0.3533,9898.778392444816
6286.5,2.0832,165.05,112.365,0.4831,0.8809,0.3445,6600.854222509781
6287.0,2.0745,165.85,112.671,0.532,0.9602,0.3503,8621.601037205388
6287.5,2.0542,166.25,110.102,0.5431,1.1317,0.3639,16127.21105014295
6288.0,2.0405,167.3,104.799,0.5388,1.2801,0.373,24521.108410911773
6288.5,2.0358,168.6,107.221,0.5493,1.2974,0.3761,28283.52703775216
6289.0,2.0351,169.55,105.329,0.4889,1.2826,0.3766,28942.26481343485
6289.5,2.0378,170.0,102.639,0.5206,1.2823,0.3748,26640.127874084217
6290.0,2.0435,170.6,98.8629,0.494,1.2823,0.371,22363.733641016457
6290.5,2.0497,170.8,97.23,0.4999,1.2787,0.3669,18516.246296325728
6291.0,2.0539,170.05,99.7911,0.4775,1.2739,0.3641,16276.418504946121
6291.5,2.0549,169.95,102.711,0.5207,1.2784,0.3634,15760.149135547897
6292.0,2.0512,169.95,106.898,0.592,1.283,0.3659,17682.963715902904
6292.5,2.0423,169.7,108.618,0.6558,1.276,0.3718,23202.9190880554
6293.0,2.0322,170.2,106.044,0.7228,1.258,0.3785,31588.46408932588
6293.5,2.0257,169.55,102.041,0.5307,1.2142,0.3829,38682.91914081178
6294.0,2.025,169.7,98.0529,0.4571,1.1138,0.3833,39402.01184400069
6294.5,2.0273,169.9,100.287,0.4446,1.053,0.3818,36772.36459320552
6295.0,2.0289,169.75,102.391,0.501,1.0541,0.3807,34956.17259011392
6295.5,2.031,169.6,104.369,0.5971,1.1018,0.3793,32773.80191276768
6296.0,2.0351,169.9,103.463,0.6121,1.1744,0.3766,28942.26481343485
6296.5,2.0394,170.2,104.617,0.6483,1.2002,0.3737,25324.368397055783
6297.0,2.0428,171.05,106.802,0.6067,1.2014,0.3715,22884.59640806031
6297.5,2.0469,171.05,109.286,0.5556,1.2005,0.3687,20116.348772498783
6298.0,2.0534,171.1,105.869,0.5172,1.206,0.3644,16502.82202401326
6298.5,2.0581,171.3,104.48,0.5174,1.2215,0.3613,14307.532699039699
6299.0,2.0557,171.55,101.077,0.5522,1.2404,0.3629,15401.441700144953
6299.5,2.0491,172.5,104.54,0.575,1.2576,0.3673,18860.452418766225
6300.0,2.0431,171.8,104.557,0.5498,1.2668,0.3713,22674.811166718253
6300.5,2.036,171.7,105.239,0.5496,1.2597,0.376,28153.58969282684
6301.0,2.0223,171.15,104.667,0.5077,1.248,0.3851,42806.981496531975
6301.5,2.0057,170.6,109.037,0.6153,1.2249,0.3962,71365.9775999913
6302.0,2.0025,169.1,109.612,0.6007,1.228,0.3983,78611.6288418844
6302.5,2.024,168.7,110.787,0.698,1.2831,0.384,40692.738957860434
6303.0,2.0566,167.75,108.942,0.6156,1.3866,0.3623,14981.75326288207
