Depth,GR,Log_ILD,DT,RHOB,NPHI,PHI,PERM,Facies,velocity,Facies_code,vshale,effective porosity
7703.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7704.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7704.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7705.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7705.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7706.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7706.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7707.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7707.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7708.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7708.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7709.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7709.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7710.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7710.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7711.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7711.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7712.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7712.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7713.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7713.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7714.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7714.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7715.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7715.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7716.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7716.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7717.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7717.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7718.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7718.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7719.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7719.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7720.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7720.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7721.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7721.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7722.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7722.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7723.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7723.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7724.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7724.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7725.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7725.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7726.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7726.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7727.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7727.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7728.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7728.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7729.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7729.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7730.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7730.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7731.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7731.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7732.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7732.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7733.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7733.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7734.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7734.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7735.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7735.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7736.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7736.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7737.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7737.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7738.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7738.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7739.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7739.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7740.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7740.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7741.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7741.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7742.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7742.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7743.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7743.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7744.0,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
7744.5,39.0321,0.9332,137.507,2.2382,0.5983,0.2657,175.29363971183804,1.0,7272.357043641415,0,0.0,0.2657
