,WellID,Well,Run,AHDepth,TVDSS,Pressure,fluid
0,4,Freeman-3,1,6739.04,6658.48,3156.15,w
1,4,Freeman-3,1,6849.04,6768.47,3203.29,w
2,4,Freeman-3,1,6857.08,6776.47,3207.13,w
3,4,Freeman-3,1,6890.1,6809.47,3221.35,w
4,4,Freeman-3,1,6919.09,6838.46,3233.79,w
5,4,Freeman-3,1,6939.11,6858.46,3243.11,w
6,4,Freeman-3,1,6956.1,6875.46,3251.84,w
7,4,Freeman-3,1,7224.08,7143.05,3366.41,w
8,4,Freeman-3,1,7429.07,7345.55,3459.64,w
9,4,Freeman-3,1,7810.1,7703.71,3614.89,w
10,4,Freeman-3,1,7826.1,7717.92,3621.83,w
11,4,Freeman-3,1,7859.11,7746.95,3635.52,w
12,4,Freeman-3,1,7874.57,7760.46,3641.62,w
13,4,Freeman-3,1,8178.05,8008.11,3748.86,w
14,4,Freeman-3,1,8186.16,8014.14,3752.06,w
15,4,Freeman-3,1,8499.14,8228.11,3856.08,w
16,4,Freeman-3,2,9633.0,8963.85,4195.3,w
17,4,Freeman-3,2,9779.01,9049.1,4243.18,g
18,4,Freeman-3,2,9862.05,9098.2,4264.61,w
19,4,Freeman-3,2,9872.11,9104.21,4267.3,w
20,4,Freeman-3,2,9880.11,9109.04,4269.27,w
21,4,Freeman-3,2,9906.06,9124.81,4276.12,w
22,4,Freeman-3,2,10015.03,9191.43,4512.52,o
23,4,Freeman-3,2,10217.04,9308.57,4549.91,o
24,4,Freeman-3,2,10223.97,9312.19,4551.19,o
25,4,Freeman-3,2,10233.03,9317.47,4552.78,o
26,4,Freeman-3,2,10248.05,9325.79,4555.58,o
27,4,Freeman-3,2,10268.04,9336.88,4559.35,o
28,4,Freeman-3,2,10280.1,9343.52,4561.77,o
29,4,Freeman-3,2,10290.0,9349.05,4563.58,o
30,4,Freeman-3,2,10315.98,9363.12,4569.4,o
31,4,Freeman-3,2,10328.08,9370.0,4574.27,o
32,5,Freeman-3ST1,1,8118.06,8037.1,3760.27,w
33,5,Freeman-3ST1,1,8143.07,8062.09,3771.78,w
34,5,Freeman-3ST1,1,8302.06,8221.04,3838.26,w
35,5,Freeman-3ST1,1,9316.04,9234.87,4524.76,o
36,5,Freeman-3ST1,1,9323.05,9241.87,4526.86,o
37,5,Freeman-3ST1,1,9333.08,9251.86,4529.95,o
38,5,Freeman-3ST1,1,9341.0,9259.86,4532.5,o
39,5,Freeman-3ST1,1,9344.03,9262.86,4533.62,o
40,5,Freeman-3ST1,1,9348.04,9266.86,4534.91,o
41,5,Freeman-3ST1,1,9354.01,9272.86,4536.59,o
42,5,Freeman-3ST1,1,9360.05,9278.86,4538.53,o
43,5,Freeman-3ST1,1,9368.08,9286.86,4541.3,o
44,5,Freeman-3ST1,1,9369.06,9287.86,,o
45,5,Freeman-3ST1,1,9375.99,9294.35,4543.87,o
46,5,Freeman-3ST1,1,9553.01,9471.8,4600.64,o
47,5,Freeman-3ST1,1,9560.08,9478.79,4603.08,o
48,5,Freeman-3ST1,1,9566.03,9484.79,4605.18,o
