Depth,GR,Log_ILD,DT,RHOB,NPHI,PHI,PERM,Facies,velocity,Facies_code
9390.0,122.7306,1.1316,113.1282,2.3882,0.3692,0.1689,2.032217085266637,3.0,883704.4892188053,2
9390.5,115.3018,1.1211,112.7083,2.3888,0.4042,0.1685,1.995128814670284,3.0,891981.0900008919,2
9391.0,119.1347,1.108,113.0599,2.3842,0.4007,0.1715,2.2906810365704224,3.0,902527.0758122742,2
9391.5,116.1911,1.1158,112.7116,2.3796,0.4306,0.1745,2.630015451995009,3.0,896217.9602079226,2
9392.0,117.9706,1.1199,112.8028,2.382,0.3834,0.1729,2.4432149152662794,3.0,892936.8693633361,2
9392.5,116.1304,1.1191,113.1673,2.3867,0.4003,0.1699,2.1279822026981354,3.0,893575.1943526048,2
9393.0,117.2748,1.0987,113.1543,2.3911,0.3905,0.167,1.8619760958890283,3.0,910166.560480568,2
9393.5,117.4966,1.0782,113.7468,2.3924,0.4575,0.1662,1.7946335672841305,3.0,927471.7121127805,2
9394.0,114.0616,1.0949,113.4473,2.3911,0.452,0.167,1.8619760958890283,3.0,913325.4178463786,2
9394.5,113.5339,1.1057,113.0566,2.3876,0.4561,0.1693,2.069994804988136,3.0,904404.4496698924,2
9395.0,113.3072,1.1209,113.1315,2.385,0.4091,0.171,2.238544199990564,3.0,892140.244446427,2
9395.5,110.4648,1.1065,113.1445,2.3842,0.3989,0.1715,2.2906810365704224,3.0,903750.564844103,2
9396.0,107.4592,1.0899,113.6425,2.3844,0.4143,0.1714,2.2801574193579897,3.0,917515.3683824203,2
9396.5,111.2394,1.0878,114.0137,2.3824,0.4107,0.1726,2.409696256830247,3.0,919286.6335723478,2
9397.0,122.4821,1.1009,113.8867,2.381,0.4194,0.1735,2.511657442098302,3.0,908347.7155054956,2
9397.5,126.1572,1.1321,113.3073,2.3807,0.3872,0.1737,2.534895062856647,3.0,883314.1948591113,2
9398.0,127.1505,1.1261,113.0859,2.3823,0.4032,0.1727,2.420817735018472,3.0,888020.6020779682,2
9398.5,120.5516,1.1308,112.5293,2.3846,0.393,0.1712,2.259255002466358,3.0,884329.6781039971,2
9399.0,118.7754,1.1434,111.7383,2.3871,0.4037,0.1696,2.098788246749147,3.0,874584.5723281441,2
9399.5,117.0035,1.1651,111.5788,2.3891,0.3849,0.1683,1.976839281727213,3.0,858295.4252853832,2
9400.0,120.6255,1.178,111.9108,2.3899,0.3812,0.1678,1.931845611752817,3.0,848896.4346349746,2
9400.5,122.6476,1.1604,111.7188,2.389,0.4053,0.1684,1.9859629938511096,3.0,861771.8028266114,2
9401.0,123.7717,1.1371,112.5,2.3881,0.4051,0.169,2.0415963827293244,3.0,879430.129276229,2
9401.5,117.9398,1.1243,112.3145,2.3914,0.4045,0.1668,1.8449071864058075,3.0,889442.3196655696,2
9402.0,122.8663,1.1134,111.849,2.3949,0.3746,0.1646,1.6671672007478555,3.0,898149.8113885396,2
9402.5,119.9285,1.1216,111.8522,2.3965,0.3854,0.1635,1.5848255898313133,3.0,891583.452211127,2
9403.0,122.4915,1.1333,111.9043,2.3953,0.4006,0.1643,1.6442952022149142,3.0,882378.8934968676,2
9403.5,119.4915,1.1365,112.3698,2.3941,0.4024,0.1651,1.7059963754842984,3.0,879894.4126704795,2
9404.0,124.6432,1.1288,112.5749,2.3933,0.4069,0.1656,1.7457299015119867,3.0,885896.527285613,2
9404.5,121.3177,1.1353,111.9141,2.3923,0.3809,0.1663,1.802916344840778,3.0,880824.4516867788,2
9405.0,119.2552,1.1488,111.3574,2.3915,0.3843,0.1668,1.8449071864058075,3.0,870473.5376044568,2
9405.5,112.3172,1.1716,110.651,2.3906,0.3546,0.1674,1.8965891357992788,3.0,853533.6292249914,2
9406.0,119.6634,1.1784,110.3027,2.3909,0.3775,0.1672,1.8792029253332625,3.0,848608.2824168365,2
9406.5,118.296,1.1939,110.4199,2.3953,0.3634,0.1643,1.6442952022149142,3.0,837591.0880308234,2
9407.0,126.8541,1.2042,110.7747,2.4011,0.383,0.1606,1.386716186196287,3.0,830426.8393954493,2
9407.5,125.5431,1.1799,110.7031,2.3997,0.3848,0.1615,1.4453921398872176,3.0,847529.4516484449,2
9408.0,130.431,1.1616,110.9245,2.3951,0.3832,0.1645,1.6595080683022223,3.0,860881.5426997246,2
9408.5,123.5139,1.18,111.1458,2.3925,0.3829,0.1661,1.7863888416339138,3.0,847457.6271186441,2
9409.0,125.8141,1.2015,110.9212,2.3937,0.3726,0.1654,1.729726631793944,3.0,832292.9671244278,2
9409.5,125.0787,1.2139,110.817,2.3953,0.3992,0.1643,1.6442952022149142,3.0,823791.0865804432,2
9410.0,127.77,1.2046,111.2207,2.3977,0.4015,0.1628,1.534556735683836,3.0,830151.0874979247,2
9410.5,121.9474,1.1829,110.9342,2.4016,0.3788,0.1603,1.3676917172875576,3.0,845379.99830924,2
9411.0,117.4701,1.1724,110.8887,2.403,0.3452,0.1594,1.3121700262167204,3.0,852951.2111907199,2
9411.5,117.0111,1.1966,110.5632,2.4021,0.3612,0.1599,1.342731135629766,3.0,835701.1532675914,2
9412.0,121.6694,1.2224,110.1758,2.4035,0.3792,0.159,1.2882227238573558,3.0,818062.827225131,2
9412.5,127.8306,1.2516,110.1107,2.4057,0.3761,0.1576,1.2077968851534795,3.0,798977.3090444232,2
9413.0,125.8557,1.2085,110.4948,2.4046,0.3489,0.1583,1.2473617732072937,3.0,827472.0728175425,2
9413.5,118.844,1.1983,110.944,2.4005,0.3361,0.161,1.4124944240603396,3.0,834515.5637152634,2
9414.0,118.9325,1.1883,111.3216,2.3968,0.3537,0.1634,1.5775447429610638,3.0,841538.3320710259,2
9414.5,118.802,1.1601,111.0254,2.3961,0.3565,0.1638,1.6068703713989767,3.0,861994.6556331351,2
9415.0,126.8753,1.1613,110.6152,2.3964,0.3698,0.1636,1.5921400400154349,3.0,861103.9352449841,2
9415.5,129.5609,1.1845,110.4297,2.3967,0.3663,0.1634,1.5775447429610638,3.0,844238.0751371887,2
9416.0,131.3462,1.1774,110.4134,2.3939,0.393,0.1652,1.7138700655501613,3.0,849329.0300662477,2
9416.5,124.2306,1.1576,110.6641,2.3926,0.3788,0.1661,1.7863888416339138,3.0,863856.2543192813,2
9417.0,117.7315,1.1616,110.8724,2.3944,0.3824,0.1649,1.690357346725478,3.0,860881.5426997246,2
9417.5,117.7443,1.1649,111.1556,2.4,0.3713,0.1613,1.4321420945950305,3.0,858442.7847883938,2
9418.0,122.2459,1.1657,111.0417,2.4047,0.3743,0.1583,1.2473617732072937,3.0,857853.6501672815,2
9418.5,126.6601,1.1526,110.8691,2.405,0.3765,0.1581,1.2359270908573348,3.0,867603.6786395974,2
9419.0,126.1442,1.1462,110.9831,2.4018,0.3734,0.1601,1.3551539590559225,3.0,872448.0893386842,2
9419.5,125.8118,1.1676,111.25,2.3975,0.4003,0.1629,1.5416391798782538,3.0,856457.6909900651,2
9420.0,116.3975,1.1477,111.1523,2.3971,0.4036,0.1632,1.5630832423635084,3.0,871307.8330574193,2
9420.5,114.8274,1.1452,111.1393,2.3988,0.3865,0.1621,1.485882352065805,3.0,873209.9196646874,2
9421.0,112.1731,1.1798,111.0547,2.3974,0.395,0.163,1.548754311698098,3.0,847601.2883539583,2
9421.5,116.2109,1.1992,111.0872,2.3948,0.3871,0.1646,1.6671672007478555,3.0,833889.2595063376,2
9422.0,117.4934,1.1851,111.4779,2.3958,0.407,0.164,1.6217369864367328,3.0,843810.648890389,2
9422.5,117.1038,1.2202,111.0352,2.3989,0.3982,0.162,1.4790560603009502,3.0,819537.7806916899,2
9423.0,118.9547,1.2644,110.6901,2.3966,0.404,0.1635,1.5848255898313133,3.0,790888.9591901298,2
9423.5,121.6676,1.2579,110.7096,2.3926,0.3809,0.1661,1.7863888416339138,3.0,794975.7532395262,2
