DEPT,DEN,DT,GR,NEUT,RES_DEP,NEU
7734.0,2.2382,137.507,39.0321,0.5983,0.9332,
7734.5,2.2382,137.507,39.0321,0.5983,0.9332,
7735.0,2.2382,137.507,39.0321,0.5983,0.9332,
7735.5,2.2382,137.507,39.0321,0.5983,0.9332,
7736.0,2.2382,137.507,39.0321,0.5983,0.9332,
7736.5,2.2382,137.507,39.0321,0.5983,0.9332,
7737.0,2.2382,137.507,39.0321,0.5983,0.9332,
7737.5,2.2382,137.507,39.0321,0.5983,0.9332,
7738.0,2.2382,137.507,39.0321,0.5983,0.9332,
7738.5,2.2382,137.507,39.0321,0.5983,0.9332,
7739.0,2.2382,137.507,39.0321,0.5983,0.9332,
7739.5,2.2382,137.507,39.0321,0.5983,0.9332,
7740.0,2.2382,137.507,39.0321,0.5983,0.9332,
7740.5,2.2382,137.507,39.0321,0.5983,0.9332,
7741.0,2.2382,137.507,39.0321,0.5983,0.9332,
7741.5,2.2382,137.507,39.0321,0.5983,0.9332,
7742.0,2.2382,137.507,39.0321,0.5983,0.9332,
7742.5,2.2382,137.507,39.0321,0.5983,0.9332,
7743.0,2.2382,137.507,39.0321,0.5983,0.9332,
7743.5,2.2382,137.507,39.0321,0.5983,0.9332,
7744.0,2.2382,137.507,39.0321,0.5983,0.9332,
7744.5,2.2382,137.507,39.0321,0.5983,0.9332,
7745.0,2.2382,137.507,39.0321,0.5983,0.9332,
7745.5,2.2382,137.507,39.0321,0.5983,0.9332,
7746.0,2.2382,137.507,39.0321,0.5983,0.9332,
7746.5,2.2382,137.507,39.0321,0.5983,0.9332,
7747.0,2.2382,137.507,39.0321,0.5983,0.9332,
7747.5,2.2382,137.507,39.0321,0.5983,0.9332,
7748.0,2.2382,137.507,39.0321,0.5983,0.9332,
7748.5,2.2382,137.507,39.0321,0.5983,0.9332,
7749.0,2.2382,137.507,39.0321,0.5983,0.9332,
7749.5,2.2382,137.507,39.0321,0.5983,0.9332,
7750.0,2.2382,137.507,39.0321,0.5983,0.9332,
7750.5,2.2382,137.507,39.0321,0.5983,0.9332,
7751.0,2.2382,137.507,39.0321,0.5983,0.9332,
7751.5,2.2382,137.507,41.9401,0.595,0.9332,
7752.0,2.2382,137.507,41.6746,0.6178,0.9332,
7752.5,2.2382,137.507,40.5087,0.6203,0.9332,
7753.0,2.2382,137.507,38.4791,0.6197,0.9332,
