Depth,GR,Log_ILD,DT,RHOB,NPHI,PHI,PERM,velocity,GRI,vshale,PHIeff,formation_factor,swirr,permeability,Facies_code
5762.0,81.5246,1.1534,101.65,1.9591,0.5585,0.4457,23460.53568515448,9837.67830791933,0.5895,0.29341737990477373,0.4063820710927603,3.523303264477611,0.04197203393021126,5580.307380923556,2
5762.5,84.0992,1.1678,101.9,1.9302,0.5406,0.4644,29924.393479647075,9813.542688910697,0.6195,0.3235219470108648,0.4210480591005441,3.2253246496765255,0.04015796714026076,6032.199837459715,2
5763.0,74.3386,1.2406,101.4,1.9103,0.5308,0.4772,35348.220578437096,9861.932938856015,0.5057,0.22062135000862712,0.447636739098844,3.0421859359175807,0.03900119187869507,6352.222170166854,0
5763.5,73.6756,1.2634,103.6,1.8781,0.5277,0.498,46336.54314485502,9652.509652509652,0.4979,0.21460798628666597,0.46924252983758674,2.7755471065119024,0.037252832821893574,6890.814809796559,0
5764.0,75.8856,1.2844,106.7,1.8395,0.4593,0.5229,64069.571030384,9372.071227741331,0.5237,0.2349661619308334,0.49141453430126836,2.499145892001226,0.035349299087826525,7565.786194397983,0
5764.5,73.709,1.3266,108.5,1.8136,0.5015,0.5396,79622.49457158455,9216.589861751152,0.4983,0.21491344642139054,0.5108015981795336,2.3358073266897157,0.03417460553312734,8036.923789875538,0
5765.0,74.6055,1.3503,110.0,1.8077,0.5421,0.5434,83658.94248121309,9090.90909090909,0.5088,0.2230448818873743,0.5135119858270918,2.300829707639768,0.033917766049960954,8146.197124972381,0
5765.5,72.5641,1.3287,111.1,1.8137,0.684,0.5395,79518.9444405003,9000.900090009001,0.485,0.20492304031899453,0.5120403125972547,2.3367382851700538,0.03418141516358015,8034.05853093917,0
5766.0,72.8628,1.3003,110.8,1.8213,0.7663,0.5346,74606.57587004013,9025.270758122744,0.4885,0.20751914545460295,0.5067924345090832,2.3830296036844185,0.03451832559441737,7894.311358484696,0
5766.5,71.4169,1.2846,111.65,1.828,0.7131,0.5303,70546.36652679257,8956.56068069861,0.4716,0.19519630180345932,0.5041436955583365,2.4247679957597743,0.03481930495974736,7772.726467802804,0
