DEPTH(m)	CALI	GR	RESS	RESD	DENSITY	NEUTRON	
2513.533	12.528	107.666	1.133	1.185	2.155	0.492	376.874
2513.686	13.13	109.27	1.189	1.251	2.169	0.427	374.648
2513.838	13.898	120.594	1.227	1.297	2.188	0.551	371.398
2513.99	13.266	123.815	1.231	1.294	2.205	0.606	367.695
2514.143	12.554	123.116	1.214	1.275	2.212	0.969	364.268
2514.295	12.928	127.75	1.18	1.233	2.207	0.675	361.744
2514.448	13.042	131.302	1.165	1.217	2.202	0.601	360.804
2514.6	12.772	126.636	1.158	1.215	2.202	0.477	361.882
2514.752	12.716	122.151	1.169	1.231	2.207	0.414	363.734
2514.905	13.085	117.652	1.18	1.242	2.211	0.423	365.195
2515.057	12.922	114.014	1.182	1.251	2.205	0.47	369.075
2515.21	12.877	111.327	1.18	1.245	2.192	0.613	372.193
2515.362	12.936	110.285	1.158	1.21	2.18	0.59	374.238
2515.514	12.783	107.303	1.149	1.196	2.178	0.491	369.87
2515.667	13.067	108.581	1.164	1.208	2.189	0.498	364.505
2515.819	13.378	116.162	1.2	1.244	2.202	0.464	361.727
2515.972	13.24	113.99	1.236	1.284	2.202	0.539	359.063
2516.124	12.938	108.916	1.264	1.315	2.194	0.506	354.735
2516.276	12.614	108.072	1.267	1.317	2.196	0.536	350.249
2516.429	12.804	116.4	1.251	1.298	2.211	0.445	348.388
2516.581	13.096	117.938	1.227	1.277	2.217	0.433	349.214
2516.734	13.259	119.846	1.198	1.25	2.211	0.391	350.074
2516.886	13.27	116.453	1.206	1.264	2.205	0.431	351.965
2517.038	13.273	117.495	1.237	1.298	2.198	0.438	354.681
2517.191	13.297	110.389	1.246	1.308	2.187	0.476	357.684
2517.343	13.458	111.569	1.22	1.285	2.186	0.508	359.246
2517.496	13.733	113.854	1.215	1.285	2.202	0.511	358.984
2517.648	13.849	114.058	1.231	1.302	2.207	0.498	356.582
2517.8	13.723	108.421	1.246	1.321	2.184	0.479	355.433
2517.953	13.588	105.315	1.263	1.335	2.162	0.52	351.802
2518.105	13.145	105.677	1.332	1.408	2.187	0.721	341.143
2518.258	12.965	108.823	1.389	1.475	2.247	0.873	333.738
2518.41	13.001	112.09	1.385	1.474	2.287	0.674	331.764
2518.562	12.915	111.636	1.305	1.381	2.276	0.514	331.822
2518.715	13.096	115.521	1.241	1.309	2.234	0.432	334.977
2518.867	13.059	115.529	1.23	1.305	2.2	0.486	339.569
2519.02	13.213	124.721	1.217	1.295	2.185	0.508	344.113
2519.172	13.233	125.827	1.203	1.283	2.186	0.483	348.586
2519.324	13.588	128.106	1.186	1.26	2.197	0.437	354.127
2519.477	14.406	129.684	1.171	1.232	2.21	0.4	361.79
2519.629	14.109	121.579	1.163	1.223	2.214	0.413	369.981
2519.781	13.784	120.796	1.16	1.221	2.203	0.401	375.689
2519.934	14.374	125.475	1.164	1.226	2.178	0.479	377.495
2520.086	14.688	126.044	1.158	1.216	2.149	0.775	376.86
2520.239	14.76	127.408	1.153	1.211	2.136	1.073	374.957
2520.391	14.31	128.345	1.168	1.227	2.151	0.873	372.889
2520.544	13.851	126.5	1.209	1.266	2.185	0.59	371.106
2520.696	13.716	125.774	1.23	1.286	2.217	0.512	365.438
2520.848	13.185	123.376	1.242	1.304	2.232	0.502	355.345
2521.001	13.015	125.061	1.263	1.34	2.229	0.488	344.892
2521.153	12.958	123.588	1.277	1.364	2.221	0.457	333.344
2521.306	13.071	126.531	1.255	1.34	2.218	0.432	321.257
