Depth,Log_ILD,NPHI,RHOB,vshale,Actual Permeability,rf_Permeability,dt_Permeability,gb_Permeability,nn_pore pressure
7322.0,0.7423,0.581,2.2157,92.4503,113.18429585298364,109.4251839345469,161274.28000866834,10047334.730815377,949517.194098243
8985.0,0.8701,0.6908,2.2623,86.6754,27.030351625347343,27.182401150637865,161274.28000866834,10047334.730815377,1161812.7053671707
6504.0,1.151,0.5166,2.1013,39.2862,0.4634871809379594,0.7435747430009992,161274.28000866834,10047334.730815377,838296.9739409282
8542.5,0.72,0.5452,2.2016,84.9408,174.4883232427835,174.33820928094056,161274.28000866834,10047334.730815377,1104896.1256923787
8465.0,0.8374,0.5442,2.2289,86.7401,75.47527660314084,75.30078237866847,161274.28000866834,10047334.730815377,1095205.4744884397
6341.5,1.296,0.414,2.107,88.486,0.2324,130.18249655148588,161274.28000866834,10047334.730815377,823510.7516046731
9662.5,1.1182,0.4904,2.3553,112.158,1.5559022820066577,3.683465276445938,161274.28000866834,10047334.730815377,1251689.1199733622
11159.5,1.294,0.404,2.474,154.139,45.7173,21.605841983733836,161274.28000866834,10047334.730815377,1448528.0151123297
9369.5,2.2933,0.3338,2.1568,66.9432,0.0513024886219551,0.08783606533277397,161274.28000866834,10047334.730815377,1208746.1613258214
8231.0,1.5533,0.4934,2.2704,88.2796,21.07963429131799,20.639470942030115,161274.28000866834,10047334.730815377,1065507.7586284804
8740.5,32.7736,0.2853,2.0411,44.5939,5.0574125662254215,5.202269436412918,161274.28000866834,10047334.730815377,1129113.1167801283
9260.5,1.6448,0.6702,2.3366,77.7723,2.7666612194802016,2.67156529423306,161274.28000866834,10047334.730815377,1196101.6874084775
6570.5,1.1186,0.7204,1.4962,76.3074,443379423562.4696,453532097368.9451,424245047644.2878,438000664890.74066,851342.2780758003
9445.5,0.7587,0.4271,2.3472,95.0722,1.995128814670284,2.050316976473368,161274.28000866834,10047334.730815377,1221767.9521235565
7576.0,1.32,0.52,2.132,96.343,117.733,319.07773039825975,161274.28000866834,10047334.730815377,982577.6833915703
9199.5,1.3405,0.4552,2.3223,91.402,4.284853400883631,4.33249701682706,161274.28000866834,10047334.730815377,1189889.3370412102
7940.5,1.1216,0.3771,2.2347,103.638,63.068562137388994,62.834102099560916,161274.28000866834,10047334.730815377,1030109.0391491478
7766.0,0.9332,0.5447,2.2382,39.3093,0.0020243533985008,0.10810554734917666,161274.28000866834,10047334.730815377,999893.3593511723
6117.0,1.2294,0.5581,1.9968,93.8466,93643.74832728792,93855.40096090836,161274.28000866834,10047334.730815377,795417.5169568382
7067.0,0.9539,0.6221,2.117,75.4428,2342.3271100278457,2249.608342640073,161274.28000866834,10047334.730815377,914815.8074807235
11239.5,1.651,0.377,2.47,163.907,2783.21,2687.2947872000022,161274.28000866834,10047334.730815377,1460002.0275518133
6802.5,1.6103,0.4515,2.1562,79.698,704.21055927438,700.8292010592509,161274.28000866834,10047334.730815377,881521.6993213232
5807.0,1.0738,1.1161,1.9702,77.336,212540.29929438708,211630.55411643826,161274.28000866834,10047334.730815377,753752.6513457426
7742.5,0.9332,0.5983,2.2382,39.0321,0.0020243533985008,0.10810554734917666,161274.28000866834,10047334.730815377,996856.3684815664
8647.5,0.806,0.5273,2.2259,96.4813,82.7561922189418,82.76777231528781,161274.28000866834,10047334.730815377,1119757.4089904474
9214.5,1.201,0.7257,2.3453,79.4397,2.1182060401602083,2.1220121698301884,161274.28000866834,10047334.730815377,1190367.8559580112
8800.5,0.9975,0.4749,2.2941,93.6788,10.183483398773832,10.268987048400684,161274.28000866834,10047334.730815377,1139029.497098293
9206.5,1.4816,0.4363,2.3681,92.5119,1.0519624205063969,1.082128690397912,161274.28000866834,10047334.730815377,1190937.6026000422
8772.0,0.8306,0.5017,2.2539,93.413,34.98161833345408,35.19057503651885,161274.28000866834,10047334.730815377,1135328.7510699
8660.5,0.8431,0.5563,2.247,76.2577,43.234476602353,43.62236969758418,161274.28000866834,10047334.730815377,1118966.907620363
8889.5,0.9421,0.6102,2.3062,116.753,7.0455226311919406,35.844984226149386,161274.28000866834,10047334.730815377,1153246.793853827
8508.5,0.8004,0.5354,2.2278,88.7507,77.94768807094675,78.05753570818815,161274.28000866834,10047334.730815377,1101015.5617326843
8155.0,0.8351,0.4952,2.2136,91.1245,120.721111052608,120.95325033368162,161274.28000866834,10047334.730815377,1056033.2280817875
9228.0,1.2927,0.5652,2.2859,78.9004,13.118517901224502,13.4052714715969,161274.28000866834,10047334.730815377,1192020.628326597
9579.0,0.4446,0.6954,2.3084,90.6431,6.57531214318738,6.750975210854153,161274.28000866834,10047334.730815377,1238316.6023864679
8990.5,0.8667,0.6897,2.2729,81.9837,19.582423696347306,19.35538166692422,161274.28000866834,10047334.730815377,1161944.9083124527
8191.5,1.1296,0.7078,2.2099,96.9305,135.44967170848668,135.672025592362,161274.28000866834,10047334.730815377,1061474.4919116653
9263.0,1.7967,0.6182,2.2716,85.2444,20.31724218629688,20.18087107910307,161274.28000866834,10047334.730815377,1197342.2481600645
8280.5,1.3077,0.5483,2.2675,97.5004,23.11313513284584,22.77607951920537,161274.28000866834,10047334.730815377,1072946.6892914984
6320.0,1.6806,0.4517,2.0952,106.932,4566.852617002503,4569.978901588554,161274.28000866834,10047334.730815377,823053.6915112189
7788.0,0.9332,0.5873,2.2382,66.2782,0.0020243533985008,0.10810554734917666,161274.28000866834,10047334.730815377,1006004.0309117625
8331.5,0.8049,0.5951,2.2193,85.4424,101.3424104114182,101.8746003108639,161274.28000866834,10047334.730815377,1077952.6632503981
