Depth,Log_ILD,NPHI,RHOB,vshale,effective porosity,Actual Permeability,rf_Permeability,dt_Permeability,gb_Permeability
10756.5,22.5621,0.1593,2.1219,0.0045029306459165,0.1184966072934471,0.2051516515752653,0.1766158835820744,0.19723031840641123,0.17511810930368113
9071.5,0.7576,0.4247,2.2883,0.216061716837566,0.1788477299437661,12.186756765305985,12.150199515452226,12.186756765305985,10.697760015738488
8000.0,1.0501,0.4465,2.2703,0.2890027384466556,0.1810736330481481,21.176923189170672,20.875477555620574,21.176923189170672,18.171595711548925
11068.5,0.8401,0.4171,2.3807,0.3176224424198196,0.1036385927157441,0.7145258132933577,0.6787725398828013,0.7225048873462525,0.7438800911587788
10660.0,1.6668,0.3941,2.3836,0.321234720127966,0.1012545475028525,0.6546692250022801,0.6658825309134326,0.66039533754301,0.6833795218028826
7938.0,0.8515,0.4937,2.2104,0.2596921730280067,0.224901248814247,132.9776946185725,131.33358096124618,132.9776946185725,130.2237495937201
9317.0,0.9053,0.3894,2.3416,0.4402183871785438,0.1133107361180751,2.376637443517264,2.3971503331800994,2.3913048721295183,2.5916091445856244
9098.5,0.8879,0.4497,2.2833,0.2124785169270807,0.1826278787317712,14.186693652318985,14.175889232334049,14.203062624504799,14.829657812752737
9546.0,1.8954,0.3378,2.3556,0.2733150056433428,0.126275789243792,1.5416391798782538,1.5982409730948044,1.544199020132239,1.3622696982367766
9126.0,0.7356,0.4671,2.3061,0.3077790815048919,0.1546576030783444,7.0455226311919406,6.989282241325966,7.045522631191941,6.909248671634153
8389.0,10.3215,0.4359,2.2003,0.0588615131931776,0.0436125572321142,0.0091246757025569,0.1572270327846253,0.0086051626258997,0.11602227490761911
9668.0,3.6476,0.2846,2.1908,0.0104167553285182,0.0583041547859785,0.0133106775368923,0.1572270327846253,0.0086051626258997,0.11602227490761911
8917.5,0.8893,0.4864,2.2996,0.1992205890081042,0.173604441072914,8.62787698308044,8.537245731420454,8.62787698308044,7.630108734293002
9529.5,1.633,0.3374,2.3223,0.3230009889487156,0.141817867480872,4.284853400883631,4.294057827426531,4.290503657010619,3.6329280008735254
7908.0,1.206,0.4968,2.2406,0.3227927927020297,0.196345765777928,52.70127794287787,52.76498301366461,52.70127794287787,53.70229076153825
9133.0,0.8619,0.4501,2.3052,0.3789040646318743,0.1457268553393288,7.242891011974947,7.099459549829576,7.258490808817039,7.338132798653643
10324.5,0.9508,0.4083,2.4274,0.4097422709268343,0.0601945356958041,0.1706410225301378,0.1742168642972291,0.17990636135320998,0.255967387740186
9673.5,3.1399,0.2478,2.1204,0.0195838229363233,0.1176757677265326,0.216806595319481,0.210442782242834,0.21568833237558488,0.225179152870105
7806.0,0.9332,0.4067,2.2382,0.2027895652232998,0.2140261982600778,56.73065208614542,56.79465362605706,56.73065208614545,56.62271466624308
8654.0,0.8231,0.3994,2.2909,0.2748718933956708,0.1692671662849801,11.269164662437186,11.052508478031546,11.251907440193664,10.697760015738488
9447.0,1.4089,0.3618,2.4078,0.4392799213852991,0.0692364905343699,0.3104960333003539,0.3232567349614655,0.30706387559390336,0.3469780433245258
10365.0,0.6969,0.4804,2.3565,0.4911203690882951,0.0964898705421684,1.4996295972155949,1.5631128845799949,1.5011711846188653,1.3622696982367766
10448.5,1.0596,0.3755,2.3822,0.4146954651143479,0.0896308076746773,0.6823701644673877,0.6690142683706923,0.6774300636540702,0.6833795218028826
8874.0,0.9914,0.5024,2.3179,0.24389634387304,0.1554178899210126,4.919598352605857,4.864481431353323,4.925274711775427,5.04215134004852
10257.0,1.2886,0.3942,2.3868,0.4014719845211342,0.088302754074168,0.5915978144077453,0.6503417722605633,0.5992774184984098,0.6160306581513165
11172.5,0.7678,0.4062,2.4077,0.49082596166259,0.0624293211372129,0.3119290665517826,0.3232567349614655,0.30706387559390336,0.3469780433245258
11115.5,0.9052,0.3913,2.3937,0.3949312960090756,0.0845792063347838,0.4786700470751404,0.4362470199571742,0.48205584076393343,0.4890334135344392
