DEPTH(m),CALI,GR,RESS,RESD,DENSITY,NEUTRON,Depth_ft,PERM
1943.862,12.029,44.243,1.249,1.176,2.189,0.308,6377.5,1396.67
1944.014,11.996,47.402,0.959,0.887,2.166,0.329,6378.0,1579.14
1944.167,12.084,55.879,0.946,0.87,2.156,0.37,6378.5,1671.58
1944.319,12.301,66.979,1.204,1.127,2.157,0.412,6379.0,117.733
1944.472,12.494,79.479,1.747,1.679,2.169,0.405,6379.5,117.733
1944.624,12.532,83.305,2.317,2.242,2.193,0.374,6380.0,117.733
1944.776,12.592,87.567,2.552,2.435,2.216,0.351,6380.5,117.733
1944.929,12.641,81.417,2.581,2.434,2.227,0.389,6381.0,117.733
1945.081,12.66,80.362,2.498,2.359,2.22,0.419,6381.5,117.733
1945.234,12.651,76.281,2.428,2.318,2.204,0.48,6382.0,117.733
1945.386,12.515,75.544,2.385,2.307,2.198,0.432,6382.5,117.733
1945.538,12.323,66.905,2.369,2.335,2.206,0.372,6383.0,117.733
1945.691,12.118,53.606,2.02,2.006,2.205,0.311,6383.5,1281.95
1945.843,11.958,43.87,1.462,1.426,2.178,0.303,6384.0,1483.8
1945.996,11.899,40.048,1.118,1.071,2.135,0.32,6384.5,1869.26
1946.148,11.897,35.931,0.951,0.908,2.104,0.333,6385.0,2203.1599
1946.3,11.932,37.732,0.872,0.831,2.095,0.336,6385.5,2316.2
1946.453,11.994,47.665,0.824,0.774,2.096,0.365,6386.0,2308.24
1946.605,12.066,63.796,0.926,0.862,2.098,0.404,6386.5,117.733
1957.121,12.299,83.291,0.921,0.88,2.102,0.398,6421.0,0.2324
1957.273,12.324,71.588,1.268,1.24,2.128,0.366,6421.5,342.818
1957.426,12.244,64.907,1.378,1.346,2.145,0.35,6422.0,271.478
1957.578,12.066,62.444,1.066,1.004,2.129,0.403,6422.5,336.725
1957.73,12.034,69.111,0.923,0.853,2.095,0.448,6423.0,549.075
1957.883,12.161,77.184,1.059,0.989,2.074,0.634,6423.5,0.2324
1958.035,12.233,88.1,1.35,1.28,2.081,0.593,6424.0,0.2324
1958.188,12.286,91.364,1.493,1.401,2.105,0.546,6424.5,0.2324
1971.446,12.576,100.369,1.84,1.704,2.113,0.592,6468.0,0.2324
1971.599,12.623,96.303,1.91,1.767,2.11,0.682,6468.5,0.2324
1971.751,12.57,90.214,1.958,1.814,2.094,0.633,6469.0,0.2324
1971.904,12.443,78.559,2.04,1.918,2.088,0.494,6469.5,0.2324
1972.056,12.374,66.719,1.895,1.814,2.096,0.414,6470.0,534.673
1972.208,12.245,59.573,1.437,1.366,2.097,0.36,6470.5,531.622
1972.361,12.171,59.881,1.069,1.0,2.08,0.357,6471.0,673.559
1972.513,12.172,62.668,0.93,0.865,2.069,0.368,6471.5,785.808
1972.666,12.186,69.809,1.037,0.979,2.077,0.378,6472.0,700.679
1972.818,12.19,75.435,1.187,1.135,2.093,0.428,6472.5,0.2324
1972.97,12.21,78.531,1.238,1.179,2.102,0.442,6473.0,0.2324
1973.123,12.247,86.047,1.274,1.196,2.107,0.555,6473.5,0.2324
2081.784,12.293,100.69,1.73,1.581,2.167,0.414,6830.0,0.2324
2081.936,12.229,94.735,1.683,1.537,2.154,0.441,6830.5,0.2324
2082.089,12.207,89.323,1.547,1.408,2.14,0.431,6831.0,0.2324
2082.241,12.216,90.019,1.517,1.38,2.131,0.461,6831.5,0.2324
2082.394,12.229,91.242,1.574,1.439,2.13,0.479,6832.0,0.2324
2082.546,12.274,95.68,1.663,1.515,2.133,0.505,6832.5,0.2324
2082.698,12.317,93.378,1.658,1.5,2.138,0.532,6833.0,0.2324
2082.851,12.307,95.539,1.635,1.477,2.144,0.5,6833.5,0.2324
2083.003,12.307,96.78,1.622,1.463,2.148,0.522,6834.0,0.2324
2083.156,12.298,98.93,1.572,1.416,2.147,0.473,6834.5,0.2324
2083.308,12.303,99.756,1.53,1.38,2.141,0.465,6835.0,0.2324
2083.46,12.313,91.138,1.522,1.375,2.134,0.477,6835.5,0.2324
2083.613,12.327,90.736,1.542,1.401,2.129,0.524,6836.0,0.2324
2083.765,12.342,89.179,1.555,1.414,2.131,0.594,6836.5,0.2324
2083.917,12.342,93.984,1.59,1.444,2.142,0.585,6837.0,0.2324
2084.07,12.355,93.124,1.67,1.524,2.157,0.545,6837.5,0.2324
2084.222,12.367,99.337,1.721,1.57,2.168,0.508,6838.0,0.2324
2084.375,12.359,102.365,1.738,1.582,2.17,0.508,6838.5,0.2324
2084.527,12.358,104.058,1.742,1.593,2.164,0.503,6839.0,0.2324
2084.68,12.333,101.207,1.757,1.621,2.158,0.452,6839.5,0.2324
2084.832,12.311,95.945,1.786,1.657,2.153,0.445,6840.0,0.2324
2084.984,12.301,93.252,1.756,1.641,2.142,0.408,6840.5,0.2324
2085.137,12.267,88.645,1.61,1.502,2.121,0.384,6841.0,377.673
2085.289,12.252,82.827,1.476,1.358,2.099,0.363,6841.5,512.204
2085.442,12.31,81.401,1.51,1.394,2.097,0.419,6842.0,529.443
