DEPTH(m),CALI,GR,RESD,RESM,DENSITY,NEUTRON,DTC,DTS
2330.958,2.238,137.507,,,,,,
2331.11,2.238,137.507,,,,,,
2331.263,2.238,137.507,,,,,,
2331.415,2.238,137.507,,,,,,
2331.568,2.238,137.507,,,,,,
2331.72,2.238,137.507,,,,,,
2331.872,2.238,137.507,,,,,,
2332.025,2.238,137.507,,,,,,
2332.177,2.238,137.507,,,,,,
2332.33,2.238,137.507,,,,,,
2332.482,2.238,137.507,,,,,,
2332.635,2.238,137.507,,,,,,
2332.787,2.238,137.507,,,,,,
2332.939,2.238,137.507,,,,,,
2333.092,2.238,137.507,,,,,,
2333.244,2.238,137.507,,,,,,
2333.396,2.238,137.507,,,,,,
2333.549,2.238,137.507,,,,,,
2333.701,2.238,137.507,,,,,,
2333.854,2.238,137.507,,,,,,
2334.006,2.238,137.507,,,,,,
2334.158,2.238,137.507,,,,,,
2334.311,2.238,137.507,,,,,,
2334.463,2.238,137.507,,,,,,
2334.615,2.238,137.507,,,,,,
2334.768,2.238,137.507,,,,,,
2334.92,2.238,137.507,,,,,,
2335.073,2.238,137.507,,,,,,
2335.225,2.238,137.507,,,,,,
2335.378,2.238,137.507,,,,,,
2335.53,2.238,137.507,,,,,,
2335.682,2.238,137.507,,,,,,
2335.835,2.238,137.507,,,,,,
2335.987,2.238,137.507,,,,,,
2336.14,2.238,137.507,,,,,,
2336.292,2.238,137.507,,,,,,
2336.444,2.238,137.507,,,,,,
2336.597,2.238,137.507,,,,,,
2336.749,2.238,137.507,,,,,,
2336.902,2.238,137.507,,,,,,
2337.054,2.238,137.507,,,,,,
2337.206,2.238,137.507,,,,,,
2337.359,2.238,137.507,,,,,,
2337.511,2.238,137.507,,,,,,
2337.664,2.238,137.507,,,,,,
2337.816,2.238,137.507,,,,,,
2337.969,2.238,137.507,,,,,,
2338.121,2.238,137.507,,,,,,
2338.273,2.238,137.507,,,,,,
2338.426,2.238,137.507,,,,,,
2338.578,2.238,137.507,,,,,,
2338.73,2.238,137.507,,,,,,
2338.883,2.238,137.507,,,,,,
2339.035,2.238,137.507,,,,,,
2339.188,2.238,137.507,,,,,,
2339.34,2.238,137.507,,,,,,
2339.492,2.238,137.507,,,,,,
2339.645,2.238,137.507,,,,,,
2339.797,2.238,137.507,,,,,,
2339.95,2.238,137.507,,,,,,
2340.102,2.238,137.507,,,,,,
2340.254,2.238,137.507,,,,,,
2340.407,2.238,137.507,,,,,,
2340.559,2.238,137.507,,,,,,
2340.712,2.238,137.507,,,,,,
2340.864,2.238,137.507,,,,,,
2341.016,2.238,137.507,,,,,,
2341.169,2.238,137.507,,,,,,
2341.321,39.032,2.238,0.598,137.507,,,,
2341.474,39.032,2.238,0.598,137.507,,,,
2341.626,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2341.778,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2341.931,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2342.083,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2342.236,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2342.388,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2342.54,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2342.693,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2342.845,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2342.998,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2343.15,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2343.302,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2343.455,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2343.607,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2343.76,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2343.912,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2344.064,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2344.217,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2344.369,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2344.521,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2344.674,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2344.826,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2344.979,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2345.131,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2345.284,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2345.436,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2345.588,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2345.741,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2345.893,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
